កងអន្តរាគមន៍	កង|អន្តរាគមន៍	ក・ង・អ・ន・្・ត・រ・ា・គ・ម・ន・៍
ជនអនន្តោប្រវេសន៍	ជន|អនន្តោប្រវេសន៍	ជ・ន・អ・ន・ន・្・ត・ោ・ប・្・រ・វ・េ・ស・ន・៍
ជនអន្តោប្រវេសន៍	ជន|អន្តោប្រវេសន៍	ជ・ន・អ・ន・្・ត・ោ・ប・្・រ・វ・េ・ស・ន・៍
ជបមន្ត	ជបមន្ត	ជ・ប・ម・ន・្・ត
ជយមន្ត	ជយ|មន្ត	ជ・យ・ម・ន・្・ត
ជលយន្ត	ជល|យន្ត	ជ・ល・យ・ន・្・ត
ជវលេខយន្ត	ជវ|លេខ|យន្ត	ជ・វ・ល・េ・ខ・យ・ន・្・ត
ជីវន្ត	ជីវន្ត	ជ・ី・វ・ន・្・ត
ជីវន្តី	ជីវន្តី	ជ・ី・វ・ន・្・ត・ី
ជីវិតន្តរាយ	ជីវិត|ន្តរាយ	ជ・ី・វ・ិ・ត・ន・្・ត・រ・ា・យ
ជុតិមន្ត	ជុតិមន្ត	ជ・ុ・ត・ិ・ម・ន・្・ត
ជុតិមន្តី	ជុតិមន្តី	ជ・ុ・ត・ិ・ម・ន・្・ត・ី
ជេដ្ឋាមន្ត្រី	ជេដ្ឋា|មន្ត្រី	ជ・េ・ដ・្・ឋ・ា・ម・ន・្・ត・្・រ・ី
ញាតិសន្តាន	ញាតិ|សន្តាន	ញ・ា・ត・ិ・ស・ន・្・ត・ា・ន
ដួងជីវន្ត	ដួង|ជីវន្ត	ដ・ួ・ង・ជ・ី・វ・ន・្・ត
ឋានន្តរ	ឋានន្តរ	ឋ・ា・ន・ន・្・ត・រ
ឋានន្តរនាម	ឋានន្តរ|នាម	ឋ・ា・ន・ន・្・ត・រ・ន・ា・ម
ឋានន្តរភូមិ	ឋានន្តរ|ភូមិ	ឋ・ា・ន・ន・្・ត・រ・ភ・ូ・ម・ិ
ឋានន្តរសក្ដិ	ឋានន្តរ|សក្ដិ	ឋ・ា・ន・ន・្・ត・រ・ស・ក・្・ដ・ិ
តន្តិភាសា	តន្តិភាសា	ត・ន・្・ត・ិ・ភ・ា・ស・ា
តន្តី	តន្តី	ត・ន・្・ត・ី
តន្ត្រី	តន្ត្រី	ត・ន・្・ត・្・រ・ី
តន្ត្រីករ	តន្ត្រី|ករ	ត・ន・្・ត・្・រ・ី・ក・រ
តន្ត្រីការិនី	តន្ត្រី|ការិនី	ត・ន・្・ត・្・រ・ី・ក・ា・រ・ិ・ន・ី
តន្ត្រំ	តន្ត្រំ	ត・ន・្・ត・្・រ・ំ
តុលាការយុត្តិធម៌អន្តរជាតិ	តុលាការ|យុត្តិធម៌|អន្តរ|ជាតិ	ត・ុ・ល・ា・ក・ា・រ・យ・ុ・ត・្・ត・ិ・ធ・ម・៌・អ・ន・្・ត・រ・ជ・ា・ត・ិ
តូយ៌តន្ត្រី	តូយ៌|តន្ត្រី	ត・ូ・យ・៌・ត・ន・្・ត・្・រ・ី
តូរ្យតន្ត្រី	តូរ្យ|តន្ត្រី	ត・ូ・រ・្・យ・ត・ន・្・ត・្・រ・ី
តេជវន្ត	តេជ|វន្ត	ត・េ・ជ・វ・ន・្・ត
តេជវន្តី	តេជ|វន្តី	ត・េ・ជ・វ・ន・្・ត・ី
ត្រស្តិសង្ក្រាន្ត	ត្រស្តិ|សង្ក្រាន្ត	ត・្・រ・ស・្・ត・ិ・ស・ង・្・ក・្・រ・ា・ន・្・ត
ត្រីចក្រយានយន្ត	ត្រី|ចក្រ|យាន|យន្ត	ត・្・រ・ី・ច・ក・្・រ・យ・ា・ន・យ・ន・្・ត
ត្រុកៗអ្នកស្រុកមើលងាយ រលាស់គូទខ្ចាយមានឱតមានភ័ន្ត	ត្រុក|ៗ|អ្នក|ស្រុក|មើលងាយ| |រលាស់|គូទ|ខ្ចាយ|មាន|ឱត|មាន|ភ័ន្ត	ត・្・រ・ុ・ក・ៗ・អ・្・ន・ក・ស・្・រ・ុ・ក・ម・ើ・ល・ង・ា・យ・ ・រ・ល・ា・ស・់・គ・ូ・ទ・ខ・្・ច・ា・យ・ម・ា・ន・ឱ・ត・ម・ា・ន・ភ・័・ន・្・ត
ថាមវន្ត	ថាមវន្ត	ថ・ា・ម・វ・ន・្・ត
ថ្នាំបន្តក់	ថ្នាំ|បន្តក់	ថ・្・ន・ា・ំ・ប・ន・្・ត・ក・់
ទងកន្ត្រៃ	ទង|កន្ត្រៃ	ទ・ង・ក・ន・្・ត・្・រ・ៃ
ទន្ត	ទន្ត	ទ・ន・្・ត
ទន្តកម្ម	ទន្ត|កម្ម	ទ・ន・្・ត・ក・ម・្・ម
ទន្តការ	ទន្ត|ការ	ទ・ន・្・ត・ក・ា・រ
ទន្តការី	ទន្ត|ការី	ទ・ន・្・ត・ក・ា・រ・ី
ទន្តជ	ទន្ត|ជ	ទ・ន・្・ត・ជ
ទន្តជៈ	ទន្តជៈ	ទ・ន・្・ត・ជ・ៈ
ទន្តធាតុ	ទន្ត|ធាតុ	ទ・ន・្・ត・ធ・ា・ត・ុ
ទន្តបណ្ឌិត	ទន្ត|បណ្ឌិត	ទ・ន・្・ត・ប・ណ・្・ឌ・ិ・ត
ទន្តពេទ្យ	ទន្ត|ពេទ្យ	ទ・ន・្・ត・ព・េ・ទ・្・យ
ទន្តម័យ	ទន្ត|ម័យ	ទ・ន・្・ត・ម・័・យ
ទន្តវិក័តិ	ទន្ត|វិក័តិ	ទ・ន・្・ត・វ・ិ・ក・័・ត・ិ
ទន្តវេជ្ជសាស្ត្រ	ទន្ត|វេជ្ជ|សាស្ត្រ	ទ・ន・្・ត・វ・េ・ជ・្・ជ・ស・ា・ស・្・ត・្・រ
ទន្តសោធនី	ទន្ត|សោធនី	ទ・ន・្・ត・ស・ោ・ធ・ន・ី
ទន្តា	ទន្តា	ទ・ន・្・ត・ា
