កងអន្តរាគមន៍	កង|អន្តរាគមន៍	ក・ង・អ・ន・្・ត・រ・ា・គ・ម・ន・៍
សុទ្ធិមន្តីល	សុទ្ធិ|មន្តីល	ស・ុ・ទ・្・ធ・ិ・ម・ន・្・ត・ី・ល
សុរិយសន្តាប	សុរិយ|សន្តាប	ស・ុ・រ・ិ・យ・ស・ន・្・ត・ា・ប
សូករន្តកៈ	សូក|រន្តកៈ	ស・ូ・ក・រ・ន・្・ត・ក・ៈ
សូរ្យកាន្ត	សូរ្យកាន្ត	ស・ូ・រ・្・យ・ក・ា・ន・្・ត
សេន្ត	សេន្ត	ស・េ・ន・្・ត
សៃយមន្ត	សៃ|យមន្ត	ស・ៃ・យ・ម・ន・្・ត
សោកាន្ត	សោកាន្ត	ស・ោ・ក・ា・ន・្・ត
សោក័ន្ត	សោក័ន្ត	ស・ោ・ក・័・ន・្・ត
ស្ត្រីមន្ត្រ	ស្ត្រី|មន្ត្រ	ស・្・ត・្・រ・ី・ម・ន・្・ត・្・រ
ស្រវន្តី	ស្រវន្តី	ស・្・រ・វ・ន・្・ត・ី
ស្រាកស្រាន្ត	ស្រាកស្រាន្ត	ស・្・រ・ា・ក・ស・្・រ・ា・ន・្・ត
ស្រាន្ត	ស្រាន្ត	ស・្・រ・ា・ន・្・ត
ហនុមាន្ត	ហនុមាន្ត	ហ・ន・ុ・ម・ា・ន・្・ត
ហិមពាន្ត	ហិមពាន្ត	ហ・ិ・ម・ព・ា・ន・្・ត
ហិមវន្តប្បទេស	ហិមវន្ត|ប្បទេស	ហ・ិ・ម・វ・ន・្・ត・ប・្・ប・ទ・េ・ស
ហិមវន្តប្រទេស	ហិមវន្ត|ប្រទេស	ហ・ិ・ម・វ・ន・្・ត・ប・្・រ・ទ・េ・ស
ហិមវាន្ត	ហិម|វាន្ត	ហ・ិ・ម・វ・ា・ន・្・ត
ហិមវ័ន្ត	ហិមវ័ន្ត	ហ・ិ・ម・វ・័・ន・្・ត
ហិរិមន្ត	ហិរិមន្ត	ហ・ិ・រ・ិ・ម・ន・្・ត
ហិរិមន្តី	ហិរិមន្តី	ហ・ិ・រ・ិ・ម・ន・្・ត・ី
ហេតុមន្ត	ហេតុ|មន្ត	ហ・េ・ត・ុ・ម・ន・្・ត
ហេមន្ត	ហេមន្ត	ហ・េ・ម・ន・្・ត
ហេមន្តកាល	ហេមន្ត|កាល	ហ・េ・ម・ន・្・ត・ក・ា・ល
ហេមន្តជីព	ហេមន្ត|ជីព	ហ・េ・ម・ន・្・ត・ជ・ី・ព
ហេមន្តរដូវ	ហេមន្ត|រដូវ	ហ・េ・ម・ន・្・ត・រ・ដ・ូ・វ
ហេមន្តសម័យ	ហេមន្ត|សម័យ	ហ・េ・ម・ន・្・ត・ស・ម・័・យ
ហេមន្ត—	ហេមន្ត—	ហ・េ・ម・ន・្・ត・—
ហេមពាន្ត	ហេមពាន្ត	ហ・េ・ម・ព・ា・ន・្・ត
ហេមវ័ន្ត	ហេមវ័ន្ត	ហ・េ・ម・វ・័・ន・្・ត
ហេម្បូពាន្ត	ហេ|ម្បូ|ពាន្ត	ហ・េ・ម・្・ប・ូ・ព・ា・ន・្・ត
អក្ខន្តី	អក្ខន្តី	អ・ក・្・ខ・ន・្・ត・ី
អក្សាន្តី	អក្សាន្តី	អ・ក・្・ស・ា・ន・្・ត・ី
អខន្តិភាព	អខន្តិភាព	អ・ខ・ន・្・ត・ិ・ភ・ា・ព
អគ្គមន្ត្រី	អគ្គ|មន្ត្រី	អ・គ・្・គ・ម・ន・្・ត・្・រ・ី
អគ្គិសន្តាប	អគ្គិសន្តាប	អ・គ・្・គ・ិ・ស・ន・្・ត・ា・ប
អគ្រមន្ត្រី	អគ្រមន្ត្រី	អ・គ・្・រ・ម・ន・្・ត・្・រ・ី
អង្គមន្ត្រី	អង្គ|មន្ត្រី	អ・ង・្・គ・ម・ន・្・ត・្・រ・ី
អង្គមន្ត្រីសភា	អង្គ|មន្ត្រី|សភា	អ・ង・្・គ・ម・ន・្・ត・្・រ・ី・ស・ភ・ា
អង្សុមន្ត	អង្សុមន្ត	អ・ង・្・ស・ុ・ម・ន・្・ត
អចិន្តា	អចិន្តា	អ・ច・ិ・ន・្・ត・ា
អចិន្ត្រៃយ៍	អចិន្ត្រៃយ៍	អ・ច・ិ・ន・្・ត・្・រ・ៃ・យ・៍
អច្ចន្តិកជន	អច្ចន្តិក|ជន	អ・ច・្・ច・ន・្・ត・ិ・ក・ជ・ន
អច្ចន្តិកនិយម	អច្ចន្តិក|និយម	អ・ច・្・ច・ន・្・ត・ិ・ក・ន・ិ・យ・ម
អច្ចន្តិកបុគ្គល	អច្ចន្តិក|បុគ្គល	អ・ច・្・ច・ន・្・ត・ិ・ក・ប・ុ・គ・្・គ・ល
អជ្ឈត្តសន្តាន	អជ្ឈត្ត|សន្តាន	អ・ជ・្・ឈ・ត・្・ត・ស・ន・្・ត・ា・ន
អតិមហន្ត	អតិមហន្ត	អ・ត・ិ・ម・ហ・ន・្・ត
អតិមហន្តី	អតិមហន្តី	អ・ត・ិ・ម・ហ・ន・្・ត・ី
អតិសន្តាប	អតិសន្តាប	អ・ត・ិ・ស・ន・្・ត・ា・ប
អតីតមន្ត្រី	អតីត|មន្ត្រី	អ・ត・ី・ត・ម・ន・្・ត・្・រ・ី
អតីតរដ្ឋមន្ត្រី	អតីត|រដ្ឋ|មន្ត្រី	អ・ត・ី・ត・រ・ដ・្・ឋ・ម・ន・្・ត・្・រ・ី
អត្តទន្ត	អត្ត|ទន្ត	អ・ត・្・ត・ទ・ន・្・ត
អត្តទន្តី	អត្ត|ទន្តី	អ・ត・្・ត・ទ・ន・្・ត・ី
អត្ថចិន្តា	អត្ថ|ចិន្តា	អ・ត・្・ថ・ច・ិ・ន・្・ត・ា
អថិរវន្ត	អថិរវន្ត	អ・ថ・ិ・រ・វ・ន・្・ត
អធិវាសក្សាន្តី	អធិវា|សក្សាន្តី	អ・ធ・ិ・វ・ា・ស・ក・្・ស・ា・ន・្・ត・ី
អធិវាសនក្ខន្តី	អធិវាសន|ក្ខន្តី	អ・ធ・ិ・វ・ា・ស・ន・ក・្・ខ・ន・្・ត・ី
អធិវាសនក្សាន្តី	អធិវាសន|ក្សាន្តី	អ・ធ・ិ・វ・ា・ស・ន・ក・្・ស・ា・ន・្・ត・ី
អនន្ត	អនន្ត	អ・ន・ន・្・ត
អនន្តកាល	អនន្ត|កាល	អ・ន・ន・្・ត・ក・ា・ល
អនន្តគុណ	អនន្ត|គុណ	អ・ន・ន・្・ត・គ・ុ・ណ
អនន្តញ្ញាណ	អនន្តញ្ញាណ	អ・ន・ន・្・ត・ញ・្・ញ・ា・ណ
អនន្តភាព	អនន្ត|ភាព	អ・ន・ន・្・ត・ភ・ា・ព
អនន្តរ	អនន្តរ	អ・ន・ន・្・ត・រ
អនន្តរកថា	អនន្តរក|ថា	អ・ន・ន・្・ត・រ・ក・ថ・ា
អនន្តរគមនាគមន៍	អនន្តរ|គមនាគមន៍	អ・ន・ន・្・ត・រ・គ・ម・ន・ា・គ・ម・ន・៍
អនន្តរបុស្ប	អនន្តរ|បុស្ប	អ・ន・ន・្・ត・រ・ប・ុ・ស・្・ប
អនន្តរផល	អនន្តរ|ផល	អ・ន・ន・្・ត・រ・ផ・ល
អនន្តរាគមន៍	អនន្តរាគមន៍	អ・ន・ន・្・ត・រ・ា・គ・ម・ន・៍
អនន្តរិយកម្ម	អនន្តរិយ|កម្ម	អ・ន・ន・្・ត・រ・ិ・យ・ក・ម・្・ម
អនន្តរ—	អនន្តរ—	អ・ន・ន・្・ត・រ・—
អនន្តារម្មណ៍	អនន្តារម្មណ៍	អ・ន・ន・្・ត・ា・រ・ម・្・ម・ណ・៍
អនន្តា—	អនន្តា—	អ・ន・ន・្・ត・ា・—
អនន្ត—	អនន្ត—	អ・ន・ន・្・ត・—
អនិមន្តន៍	អនិមន្តន៍	អ・ន・ិ・ម・ន・្・ត・ន・៍
អនុចិន្តា	អនុចិន្តា	អ・ន・ុ・ច・ិ・ន・្・ត・ា
អនុនាសិកន្ត	អនុនា|សិកន្ត	អ・ន・ុ・ន・ា・ស・ិ・ក・ន・្・ត
អនុមន្ត្រី	អនុមន្ត្រី	អ・ន・ុ・ម・ន・្・ត・្・រ・ី
អនុយ័ន្ត	អនុយ័ន្ត	អ・ន・ុ・យ・័・ន・្・ត
អនេកអនន្ត	អនេក|អនន្ត	អ・ន・េ・ក・អ・ន・ន・្・ត
អន្ត	អន្ត	អ・ន・្・ត
អន្តកម្ម	អន្ត|កម្ម	អ・ន・្・ត・ក・ម・្・ម
អន្តករ	អន្តករ	អ・ន・្・ត・ក・រ
អន្តកាល	អន្តកាល	អ・ន・្・ត・ក・ា・ល
អន្តគត	អន្តគត	អ・ន・្・ត・គ・ត
អន្តគតា	អន្ត|គតា	អ・ន・្・ត・គ・ត・ា
អន្តគុណ	អន្ត|គុណ	អ・ន・្・ត・គ・ុ・ណ
អន្តគុណំ	អន្ត|គុណំ	អ・ន・្・ត・គ・ុ・ណ・ំ
អន្តគូ	អន្ត|គូ	អ・ន・្・ត・គ・ូ
អន្តជាតិ	អន្ត|ជាតិ	អ・ន・្・ត・ជ・ា・ត・ិ
អន្តធម៌	អន្តធម៌	អ・ន・្・ត・ធ・ម・៌
អន្តព័ណ៌	អន្ត|ព័ណ៌	អ・ន・្・ត・ព・័・ណ・៌
អន្តយ	អន្តយ	អ・ន・្・ត・យ
អន្តរ	អន្តរ	អ・ន・្・ត・រ
អន្តរ!	អន្តរ|!	អ・ន・្・ត・រ・!
អន្តរកប្ប	អន្តរ|កប្ប	អ・ន・្・ត・រ・ក・ប・្・ប
អន្តរកម្ម	អន្តរ|កម្ម	អ・ន・្・ត・រ・ក・ម・្・ម
អន្តរកម្មនិយម	អន្តរ|កម្ម|និយម	អ・ន・្・ត・រ・ក・ម・្・ម・ន・ិ・យ・ម
អន្តរកម្មនៃបណ្ដាញ	អន្តរ|កម្ម|នៃ|បណ្ដាញ	អ・ន・្・ត・រ・ក・ម・្・ម・ន・ៃ・ប・ណ・្・ដ・ា・ញ
អន្តរការណ៍	អន្តរ|ការណ៍	អ・ន・្・ត・រ・ក・ា・រ・ណ・៍
អន្តរការី	អន្តរ|ការី	អ・ន・្・ត・រ・ក・ា・រ・ី
អន្តរកាល	អន្តរ|កាល	អ・ន・្・ត・រ・ក・ា・ល
អន្តរក្រសួង	អន្តរ|ក្រសួង	អ・ន・្・ត・រ・ក・្・រ・ស・ួ・ង
អន្តរគវេសិនី	អន្តរ|គវេសិនី	អ・ន・្・ត・រ・គ・វ・េ・ស・ិ・ន・ី
អន្តរគវេសី	អន្តរ|គវេសី	អ・ន・្・ត・រ・គ・វ・េ・ស・ី
អន្តរគ្រឹះ	អន្តរ|គ្រឹះ	អ・ន・្・ត・រ・គ・្・រ・ឹ・ះ
អន្តរចិត្តវិជ្ជា	អន្តរ|ចិត្ត|វិជ្ជា	អ・ន・្・ត・រ・ច・ិ・ត・្・ត・វ・ិ・ជ・្・ជ・ា
អន្តរជាតិ	អន្តរ|ជាតិ	អ・ន・្・ត・រ・ជ・ា・ត・ិ
អន្តរជាតិនិយម	អន្តរ|ជាតិ|និយម	អ・ន・្・ត・រ・ជ・ា・ត・ិ・ន・ិ・យ・ម
អន្តរជាតូបនីយកម្ម	អន្តរ|ជាតូបនីយ|កម្ម	អ・ន・្・ត・រ・ជ・ា・ត・ូ・ប・ន・ី・យ・ក・ម・្・ម
អន្តរដ្ឋកា	អន្តរដ្ឋ|កា	អ・ន・្・ត・រ・ដ・្・ឋ・ក・ា
អន្តរត្តិភាព	អន្តរ|ត្តិភាព	អ・ន・្・ត・រ・ត・្・ត・ិ・ភ・ា・ព
អន្តរត្ថវាចក	អន្តរ|ត្ថ|វាចក	អ・ន・្・ត・រ・ត・្・ថ・វ・ា・ច・ក
អន្តរទ្វីប	អន្តរ|ទ្វីប	អ・ន・្・ត・រ・ទ・្・វ・ី・ប
អន្តរធាន	អន្តរធាន	អ・ន・្・ត・រ・ធ・ា・ន
អន្តរធានទៅ!	អន្តរធាន|ទៅ|!	អ・ន・្・ត・រ・ធ・ា・ន・ទ・ៅ・!
អន្តរបណ្ដាញ	អន្តរ|បណ្ដាញ	អ・ន・្・ត・រ・ប・ណ・្・ដ・ា・ញ
អន្តរប្បញ្ញត្តិ	អន្តរ|ប្បញ្ញត្តិ	អ・ន・្・ត・រ・ប・្・ប・ញ・្・ញ・ត・្・ត・ិ
អន្តរប្រទេស	អន្តរ|ប្រទេស	អ・ន・្・ត・រ・ប・្・រ・ទ・េ・ស
អន្តរភព	អន្តរភព	អ・ន・្・ត・រ・ភ・ព
អន្តរមាគ៌ា	អន្តរ|មាគ៌ា	អ・ន・្・ត・រ・ម・ា・គ・៌・ា
អន្តរមុខ	អន្តរ|មុខ	អ・ន・្・ត・រ・ម・ុ・ខ
អន្តររដ្ឋ	អន្តរ|រដ្ឋ	អ・ន・្・ត・រ・រ・ដ・្・ឋ
អន្តររដ្ឋាភិបាល	អន្តរ|រដ្ឋាភិបាល	អ・ន・្・ត・រ・រ・ដ・្・ឋ・ា・ភ・ិ・ប・ា・ល
អន្តរវាសក	អន្តរ|វាសក	អ・ន・្・ត・រ・វ・ា・ស・ក
អន្តរវាសកៈ	អន្តរ|វាសកៈ	អ・ន・្・ត・រ・វ・ា・ស・ក・ៈ
អន្តរវិស័យ	អន្តរ|វិស័យ	អ・ន・្・ត・រ・វ・ិ・ស・័・យ
អន្តរសភា	អន្តរសភា	អ・ន・្・ត・រ・ស・ភ・ា
អន្តរសម័យ	អន្តរ|សម័យ	អ・ន・្・ត・រ・ស・ម・័・យ
អន្តរស្ថាប័ន	អន្តរ|ស្ថាប័ន	អ・ន・្・ត・រ・ស・្・ថ・ា・ប・័・ន
អន្តរហេតុ	អន្តរ|ហេតុ	អ・ន・្・ត・រ・ហ・េ・ត・ុ
អន្តរា	អន្តរា	អ・ន・្・ត・រ・ា
អន្តរាកថា	អន្តរាក|ថា	អ・ន・្・ត・រ・ា・ក・ថ・ា
អន្តរាគមនិយម	អន្តរាគម|និយម	អ・ន・្・ត・រ・ា・គ・ម・ន・ិ・យ・ម
អន្តរាគមន៍	អន្តរាគមន៍	អ・ន・្・ត・រ・ា・គ・ម・ន・៍
អន្តរាត្មា	អន្តរាត្មា	អ・ន・្・ត・រ・ា・ត・្・ម・ា
អន្តរាត្ម័ន	អន្តរាត្ម័ន	អ・ន・្・ត・រ・ា・ត・្・ម・័・ន
អន្តរាបត្តិ	អន្តរាបត្តិ	អ・ន・្・ត・រ・ា・ប・ត・្・ត・ិ
អន្តរាមគ្គ	អន្តរាមគ្គ	អ・ន・្・ត・រ・ា・ម・គ・្・គ
អន្តរាយ	អន្តរាយ	អ・ន・្・ត・រ・ា・យ
អន្តរាយិកធម៌	អន្តរាយិក|ធម៌	អ・ន・្・ត・រ・ា・យ・ិ・ក・ធ・ម・៌
អន្តរាសន្និបាត	អន្តរាសន្និបាត	អ・ន・្・ត・រ・ា・ស・ន・្・ន・ិ・ប・ា・ត
អន្តរាសភា	អន្តរាសភា	អ・ន・្・ត・រ・ា・ស・ភ・ា
អន្តរា—	អន្តរា—	អ・ន・្・ត・រ・ា・—
អន្តរីក្ស	អន្តរី|ក្ស	អ・ន・្・ត・រ・ី・ក・្・ស
អន្តរីប	អន្តរីប	អ・ន・្・ត・រ・ី・ប
អន្តរេន្ទ្រិយ	អន្តរេន្ទ្រិយ	អ・ន・្・ត・រ・េ・ន・្・ទ・្・រ・ិ・យ
អន្តរ–	អន្តរ|–	អ・ន・្・ត・រ・–
អន្តរ—	អន្តរ—	អ・ន・្・ត・រ・—
អន្តលិក្ខ	អន្ត|លិក្ខ	អ・ន・្・ត・ល・ិ・ក・្・ខ
អន្តវណ្ណ	អន្ត|វណ្ណ	អ・ន・្・ត・វ・ណ・្・ណ
អន្តវាសិន	អន្ត|វា|សិន	អ・ន・្・ត・វ・ា・ស・ិ・ន
អន្តវាសិនី	អន្ត|វា|សិនី	អ・ន・្・ត・វ・ា・ស・ិ・ន・ី
អន្តសយ្យា	អន្ត|សយ្យា	អ・ន・្・ត・ស・យ・្・យ・ា
អន្តសេយ្យា	អន្ត|សេយ្យា	អ・ន・្・ត・ស・េ・យ・្・យ・ា
អន្តាក់អន្តិច	អន្តាក់|អន្តិច	អ・ន・្・ត・ា・ក・់・អ・ន・្・ត・ិ・ច
អន្តាក់អន្តិច	អន្តាក់|អន្តិច	អ・ន・្・ត・ា・ក・់・អ・ន・្・ត・ិ・ច
អន្តាយ	អន្តាយ	អ・ន・្・ត・ា・យ
អន្តិតអន្តូង	អន្តិត|អន្តូង	អ・ន・្・ត・ិ・ត・អ・ន・្・ត・ូ・ង
អន្តិតអន្តូង	អន្តិត|អន្តូង	អ・ន・្・ត・ិ・ត・អ・ន・្・ត・ូ・ង
អន្តិម	អន្តិម	អ・ន・្・ត・ិ・ម
អន្តិមកិច្ច	អន្តិ|មកិច្ច	អ・ន・្・ត・ិ・ម・ក・ិ・ច・្・ច
អន្តិមជាតិ	អន្តិម|ជាតិ	អ・ន・្・ត・ិ・ម・ជ・ា・ត・ិ
អន្តិមត្តភាព	អន្តិ|មត្ត|ភាព	អ・ន・្・ត・ិ・ម・ត・្・ត・ភ・ា・ព
អន្តិមទេហធារី	អន្តិម|ទេហ|ធារី	អ・ន・្・ត・ិ・ម・ទ・េ・ហ・ធ・ា・រ・ី
អន្តិមភព	អន្តិមភព	អ・ន・្・ត・ិ・ម・ភ・ព
អន្តិមវត្ថុ	អន្តិមវត្ថុ	អ・ន・្・ត・ិ・ម・វ・ត・្・ថ・ុ
អន្តិមវត្ថុអជ្ឈាបនក	អន្តិមវត្ថុ|អជ្ឈាបនក	អ・ន・្・ត・ិ・ម・វ・ត・្・ថ・ុ・អ・ជ・្・ឈ・ា・ប・ន・ក
អន្តិមសាសន៍	អន្តិមសាសន៍	អ・ន・្・ត・ិ・ម・ស・ា・ស・ន・៍
អន្តិម—	អន្តិម—	អ・ន・្・ត・ិ・ម・—
អន្តឺត	អន្តឺត	អ・ន・្・ត・ឺ・ត
អន្តឺរ៉ឺរ៉ឺត	អន្តឺរ៉ឺរ៉ឺត	អ・ន・្・ត・ឺ・រ・៉・ឺ・រ・៉・ឺ・ត
អន្តុយ	អន្តុយ	អ・ន・្・ត・ុ・យ
អន្តុល	អន្តុល	អ・ន・្・ត・ុ・ល
អន្តេ	អន្តេ	អ・ន・្・ត・េ
អន្តេបទ	អន្តេបទ	អ・ន・្・ត・េ・ប・ទ
អន្តេបអន្តាប	អន្តេប|អន្តាប	អ・ន・្・ត・េ・ប・អ・ន・្・ត・ា・ប
អន្តេបអន្តាប	អន្តេប|អន្តាប	អ・ន・្・ត・េ・ប・អ・ន・្・ត・ា・ប
អន្តេបុរ	អន្តេ|បុរ	អ・ន・្・ត・េ・ប・ុ・រ
អន្តេបុរចរ	អន្តេ|បុរចរ	អ・ន・្・ត・េ・ប・ុ・រ・ច・រ
អន្តេបុរចារក	អន្តេ|បុរ|ចារក	អ・ន・្・ត・េ・ប・ុ・រ・ច・ា・រ・ក
អន្តេបុរចារកៈ	អន្តេ|បុរ|ចារកៈ	អ・ន・្・ត・េ・ប・ុ・រ・ច・ា・រ・ក・ៈ
អន្តេបុរចារិកា	អន្តេ|បុរ|ចារិកា	អ・ន・្・ត・េ・ប・ុ・រ・ច・ា・រ・ិ・ក・ា
អន្តេបុរបរិចារិកា	អន្តេ|បុរ|បរិចារិកា	អ・ន・្・ត・េ・ប・ុ・រ・ប・រ・ិ・ច・ា・រ・ិ・ក・ា
អន្តេបុរបាល	អន្តេ|បុរបាល	អ・ន・្・ត・េ・ប・ុ・រ・ប・ា・ល
អន្តេបុរបាលក	អន្តេ|បុរបាល|ក	អ・ន・្・ត・េ・ប・ុ・រ・ប・ា・ល・ក
អន្តេបុរបាលកៈ	អន្តេ|បុរបាលកៈ	អ・ន・្・ត・េ・ប・ុ・រ・ប・ា・ល・ក・ៈ
អន្តេបុរបាលិកា	អន្តេ|បុរបាលិកា	អ・ន・្・ត・េ・ប・ុ・រ・ប・ា・ល・ិ・ក・ា
អន្តេបុរិក	អន្តេ|បុរិក	អ・ន・្・ត・េ・ប・ុ・រ・ិ・ក
អន្តេបុរិកា	អន្តេ|បុរិកា	អ・ន・្・ត・េ・ប・ុ・រ・ិ・ក・ា
អន្តេបុរិកៈ	អន្តេ|បុរិកៈ	អ・ន・្・ត・េ・ប・ុ・រ・ិ・ក・ៈ
អន្តេបុរៈ	អន្តេ|បុរៈ	អ・ន・្・ត・េ・ប・ុ・រ・ៈ
អន្តេវាសិក	អន្តេវាសិក	អ・ន・្・ត・េ・វ・ា・ស・ិ・ក
អន្តេវាសិកដ្ឋាន	អន្តេវាសិក|ដ្ឋាន	អ・ន・្・ត・េ・វ・ា・ស・ិ・ក・ដ・្・ឋ・ា・ន
អន្តេវាសិន	អន្តេវា|សិន	អ・ន・្・ត・េ・វ・ា・ស・ិ・ន
អន្តេវាសិនី	អន្តេវា|សិនី	អ・ន・្・ត・េ・វ・ា・ស・ិ・ន・ី
អន្តេវាសី	អន្តេវាសី	អ・ន・្・ត・េ・វ・ា・ស・ី
អន្តេ—	អន្តេ—	អ・ន・្・ត・េ・—
អន្តែងអន្តៃ	អន្តែង|អន្តៃ	អ・ន・្・ត・ែ・ង・អ・ន・្・ត・ៃ
អន្តែងអន្តៃ	អន្តែង|អន្តៃ	អ・ន・្・ត・ែ・ង・អ・ន・្・ត・ៃ
អន្តោ	អន្តោ	អ・ន・្・ត・ោ
អន្តោគ្រាម	អន្តោគ្រាម	អ・ន・្・ត・ោ・គ・្・រ・ា・ម
អន្តោគ្រឹះ	អន្តោគ្រឹះ	អ・ន・្・ត・ោ・គ・្・រ・ឹ・ះ
អន្តោជន	អន្តោជន	អ・ន・្・ត・ោ・ជ・ន
អន្តោជាត	អន្តោជាត	អ・ន・្・ត・ោ・ជ・ា・ត
អន្តោជាតា	អន្តោជា|តា	អ・ន・្・ត・ោ・ជ・ា・ត・ា
អន្តោនគរ	អន្តោនគរ	អ・ន・្・ត・ោ・ន・គ・រ
អន្តោប្រវេសន៍	អន្តោប្រវេសន៍	អ・ន・្・ត・ោ・ប・្・រ・វ・េ・ស・ន・៍
អន្តោប្រវេសន្ត	អន្តោប្រវេសន្ត	អ・ន・្・ត・ោ・ប・្・រ・វ・េ・ស・ន・្・ត
អន្តោប្រវេសន្ត	អន្តោប្រវេសន្ត	អ・ន・្・ត・ោ・ប・្・រ・វ・េ・ស・ន・្・ត
អន្តោប្រាសាទ	អន្តោប្រាសាទ	អ・ន・្・ត・ោ・ប・្・រ・ា・ស・ា・ទ
អន្តោពាណិជ្ជ	អន្តោ|ពាណិជ្ជ	អ・ន・្・ត・ោ・ព・ា・ណ・ិ・ជ・្・ជ
អន្តោភិបាល	អន្តោភិបាល	អ・ន・្・ត・ោ・ភ・ិ・ប・ា・ល
អន្តោសារ	អន្តោសារ	អ・ន・្・ត・ោ・ស・ា・រ
អន្តោសារជាតិ	អន្តោសារ|ជាតិ	អ・ន・្・ត・ោ・ស・ា・រ・ជ・ា・ត・ិ
អន្តោសារព្រឹក្ស	អន្តោសារ|ព្រឹក្ស	អ・ន・្・ត・ោ・ស・ា・រ・ព・្・រ・ឹ・ក・្・ស
អន្តោ—	អន្តោ—	អ・ន・្・ត・ោ・—
អន្តំ	អន្តំ	អ・ន・្・ត・ំ
អន្តៈ	អន្តៈ	អ・ន・្・ត・ៈ
អន្ត្រត	អន្ត្រត	អ・ន・្・ត・្・រ・ត
អន្ត្រាក់	អន្ត្រាក់	អ・ន・្・ត・្・រ・ា・ក・់
អន្ត្រឹក	អន្ត្រឹក	អ・ន・្・ត・្・រ・ឹ・ក
អន្ត្រុក	អន្ត្រុក	អ・ន・្・ត・្・រ・ុ・ក
អន្ត្រើក	អន្ត្រើក	អ・ន・្・ត・្・រ・ើ・ក
អន្ត្រោក	អន្ត្រោក	អ・ន・្・ត・្・រ・ោ・ក
អន្ត—	អន្ត—	អ・ន・្・ត・—
អប្បសាន្ត	អប្បសាន្ត	អ・ប・្・ប・ស・ា・ន・្・ត
អប្សាន្ត	អប្សាន្ត	អ・ប・្・ស・ា・ន・្・ត
អផ្សុកអប្បសាន្ត	អផ្សុក|អប្បសាន្ត	អ・ផ・្・ស・ុ・ក・អ・ប・្・ប・ស・ា・ន・្・ត
អផ្សុកអប្សាន្ត	អផ្សុក|អប្សាន្ត	អ・ផ・្・ស・ុ・ក・អ・ប・្・ស・ា・ន・្・ត
អព្ភន្តរ	អព្ភន្តរ	អ・ព・្・ភ・ន・្・ត・រ
អព្ភន្តរកិរិយា	អព្ភន្តរ|កិរិយា	អ・ព・្・ភ・ន・្・ត・រ・ក・ិ・រ・ិ・យ・ា
អព្ភន្តរញ្ញាណ	អព្ភន្ត|រញ្ញាណ	អ・ព・្・ភ・ន・្・ត・រ・ញ・្・ញ・ា・ណ
អព្ភន្តរញ្ញាណនិយម	អព្ភន្ត|រញ្ញាណ|និយម	អ・ព・្・ភ・ន・្・ត・រ・ញ・្・ញ・ា・ណ・ន・ិ・យ・ម
អព្ភន្តរត្ថ	អព្ភន្តរ|ត្ថ	អ・ព・្・ភ・ន・្・ត・រ・ត・្・ថ
អព្ភន្តរសញ្ញា	អព្ភន្តរ|សញ្ញា	អ・ព・្・ភ・ន・្・ត・រ・ស・ញ・្・ញ・ា
អព្ភន្តរសព្ទ	អព្ភន្តរ|សព្ទ	អ・ព・្・ភ・ន・្・ត・រ・ស・ព・្・ទ
អព្ភន្តរសីមា	អព្ភន្តរ|សីមា	អ・ព・្・ភ・ន・្・ត・រ・ស・ី・ម・ា
អព្ភន្តរស័ព្ទ	អព្ភន្តរស័ព្ទ	អ・ព・្・ភ・ន・្・ត・រ・ស・័・ព・្・ទ
អព្ភន្តរ័ត្ថ	អព្ភន្តរ័ត្ថ	អ・ព・្・ភ・ន・្・ត・រ・័・ត・្・ថ
អព្ភន្តរ—	អព្ភន្តរ—	អ・ព・្・ភ・ន・្・ត・រ・—
អភយន្តរាយ	អភយន្តរាយ	អ・ភ・យ・ន・្・ត・រ・ា・យ
អភិក្កន្តព័ណ៌	អភិក្កន្ត|ព័ណ៌	អ・ភ・ិ・ក・្・ក・ន・្・ត・ព・័・ណ・៌
អភិក្កន្តវណ្ណ	អភិក្កន្ត|វណ្ណ	អ・ភ・ិ・ក・្・ក・ន・្・ត・វ・ណ・្・ណ
អភិក្កាន្តព័ណ៌	អភិក្កាន្ត|ព័ណ៌	អ・ភ・ិ・ក・្・ក・ា・ន・្・ត・ព・័・ណ・៌
អភិរដ្ឋមន្ត្រី	អភិរដ្ឋ|មន្ត្រី	អ・ភ・ិ・រ・ដ・្・ឋ・ម・ន・្・ត・្・រ・ី
អភិរាស្ត្រមន្ត្រី	អភិរាស្ត្រ|មន្ត្រី	អ・ភ・ិ・រ・ា・ស・្・ត・្・រ・ម・ន・្・ត・្・រ・ី
អភិសន្តាប	អភិសន្តាប	អ・ភ・ិ・ស・ន・្・ត・ា・ប
អមជ្ឈន្តិក	អមជ្ឈន្តិក	អ・ម・ជ・្・ឈ・ន・្・ត・ិ・ក
អមនុស្សកន្តារ	អមនុស្ស|កន្តារ	អ・ម・ន・ុ・ស・្・ស・ក・ន・្・ត・ា・រ
អយស្កាន្ត	អយស្កាន្ត	អ・យ・ស・្・ក・ា・ន・្・ត
អរហន្ត	អរហន្ត	អ・រ・ហ・ន・្・ត
អរហន្តា	អរហន្តា	អ・រ・ហ・ន・្・ត・ា
អរហន្តី	អរហន្តី	អ・រ・ហ・ន・្・ត・ី
