ព្រះកិត្តិនាម	ព・្・រ・ះ・ក・ិ・ត・្・ត・ិ・ន・ា・ម
សហប្រតិបត្តិ	ស・ហ・ប・្・រ・ត・ិ・ប・ត・្・ត・ិ
លោកុប្បត្តិ	ល・ោ・ក・ុ・ប・្・ប・ត・្・ត・ិ
សោតាបត្តិផល	ស・ោ・ត・ា・ប・ត・្・ត・ិ・ផ・ល
ដាក់ចិត្ត	ដ・ា・ក・់・ច・ិ・ត・្・ត
អស់ចិត្ត	អ・ស・់・ច・ិ・ត・្・ត
គតិយុត្តិធម៌	គ・ត・ិ・យ・ុ・ត・្・ត・ិ・ធ・ម・៌
ស្រេចតែចិត្ត	ស・្・រ・េ・ច・ត・ែ・ច・ិ・ត・្・ត
អាញត្តិ	អ・ា・ញ・ត・្・ត・ិ
ប្រណិបត្តិ	ប・្・រ・ណ・ិ・ប・ត・្・ត・ិ
នីតិបញ្ញត្តិ	ន・ី・ត・ិ・ប・ញ・្・ញ・ត・្・ត・ិ
វត្តស្វាយ	វ・ត・្・ត・ស・្・វ・ា・យ
ជ្រៃឧត្តម	ជ・្・រ・ៃ・ឧ・ត・្・ត・ម
មានចិត្តចង់	ម・ា・ន・ច・ិ・ត・្・ត・ច・ង・់
ទួលសម្បត្តិ	ទ・ួ・ល・ស・ម・្・ប・ត・្・ត・ិ
តាមចំណូលចិត្ត	ត・ា・ម・ច・ំ・ណ・ូ・ល・ច・ិ・ត・្・ត
សម្ពន្ធមិត្ត	ស・ម・្・ព・ន・្・ធ・ម・ិ・ត・្・ត
នីតិប្រតិបត្តិ	ន・ី・ត・ិ・ប・្・រ・ត・ិ・ប・ត・្・ត・ិ
មេត្តា	ម・េ・ត・្・ត・ា
អនុញ្ញាត្ត	អ・ន・ុ・ញ・្・ញ・ា・ត・្・ត
អាបត្តិ	អ・ា・ប・ត・្・ត・ិ
ពីចិត្ត	ព・ី・ច・ិ・ត・្・ត
កាលានុវត្តន៍	ក・ា・ល・ា・ន・ុ・វ・ត・្・ត・ន・៍
ផ្ចង់ចិត្ត	ផ・្・ច・ង・់・ច・ិ・ត・្・ត
យុត្តិធម៌	យ・ុ・ត・្・ត・ិ・ធ・ម・៌
នរោត្តម	ន・រ・ោ・ត・្・ត・ម
ឧត្តុង្គ	ឧ・ត・្・ត・ុ・ង・្・គ
រំភើបចិត្ត	រ・ំ・ភ・ើ・ប・ច・ិ・ត・្・ត
កោះវត្ត	ក・ោ・ះ・វ・ត・្・ត
បដិវត្តន៍	ប・ដ・ិ・វ・ត・្・ត・ន・៍
ចិត្តគំនិត	ច・ិ・ត・្・ត・គ・ំ・ន・ិ・ត
ចិត្តជា	ច・ិ・ត・្・ត・ជ・ា
តាមទំនើងចិត្ត	ត・ា・ម・ទ・ំ・ន・ើ・ង・ច・ិ・ត・្・ត
ស្កប់ចិត្ត	ស・្・ក・ប・់・ច・ិ・ត・្・ត
ប្រវត្តិរូប	ប・្・រ・វ・ត・្・ត・ិ・រ・ូ・ប
ទប់ចិត្ត	ទ・ប・់・ច・ិ・ត・្・ត
រូបសម្បត្តិ	រ・ូ・ប・ស・ម・្・ប・ត・្・ត・ិ
មានចិត្តលើ	ម・ា・ន・ច・ិ・ត・្・ត・ល・ើ
ចក្រពត្តិ	ច・ក・្・រ・ព・ត・្・ត・ិ
ការវិវត្តន៍	ក・ា・រ・វ・ិ・វ・ត・្・ត・ន・៍
ញាតិមិត្ត	ញ・ា・ត・ិ・ម・ិ・ត・្・ត
កិត្តិនាម	ក・ិ・ត・្・ត・ិ・ន・ា・ម
ប្រវត្តិវិទូ	ប・្・រ・វ・ត・្・ត・ិ・វ・ិ・ទ・ូ
សេចក្តីពេញចិត្ត	ស・េ・ច・ក・្・ត・ី・ព・េ・ញ・ច・ិ・ត・្・ត
តាំងចិត្ត	ត・ា・ំ・ង・ច・ិ・ត・្・ត
ទេវបុត្ត	ទ・េ・វ・ប・ុ・ត・្・ត
សម្បត្តិមនុស្ស	ស・ម・្・ប・ត・្・ត・ិ・ម・ន・ុ・ស・្・ស
បច្ចាមិត្ត	ប・ច・្・ច・ា・ម・ិ・ត・្・ត
វត្តលួង	វ・ត・្・ត・ល・ួ・ង
ចិត្តរឹង	ច・ិ・ត・្・ត・រ・ឹ・ង
ឧត្តមសេនីយ៍ទោ	ឧ・ត・្・ត・ម・ស・េ・ន・ី・យ・៍・ទ・ោ
ប្រែចិត្ត	ប・្・រ・ែ・ច・ិ・ត・្・ត
រន្ធត់ចិត្ត	រ・ន・្・ធ・ត・់・ច・ិ・ត・្・ត
សម្បត្តិមានជ័យ	ស・ម・្・ប・ត・្・ត・ិ・ម・ា・ន・ជ・័・យ
