សម្ដីជាឯកលេខជាទោអក្សរជាត្រី	ស・ម・្・ដ・ី・ជ・ា・ឯ・ក・ល・េ・ខ・ជ・ា・ទ・ោ・អ・ក・្・ស・រ・ជ・ា・ត・្・រ・ី
សម្ដីសំដៅ	ស・ម・្・ដ・ី・ស・ំ・ដ・ៅ
សម្ដឹង	ស・ម・្・ដ・ឹ・ង
សម្ដឺត	ស・ម・្・ដ・ឺ・ត
សម្ដុល	ស・ម・្・ដ・ុ・ល
សម្ដើង	ស・ម・្・ដ・ើ・ង
សម្ដើងហៀ	ស・ម・្・ដ・ើ・ង・ហ・ៀ
សម្ដេច	ស・ម・្・ដ・េ・ច
សម្ដេចចៅពញា	ស・ម・្・ដ・េ・ច・ច・ៅ・ព・ញ・ា
សម្ដេជ	ស・ម・្・ដ・េ・ជ
សម្ដែង	ស・ម・្・ដ・ែ・ង
សម្ដោក	ស・ម・្・ដ・ោ・ក
សម្ដោះ	ស・ម・្・ដ・ោ・ះ
សិល្បៈសម្ដែង	ស・ិ・ល・្・ប・ៈ・ស・ម・្・ដ・ែ・ង
ស្កាត់សម្ដី	ស・្・ក・ា・ត・់・ស・ម・្・ដ・ី
ស្ទាក់សម្ដី	ស・្・ទ・ា・ក・់・ស・ម・្・ដ・ី
សម្ដីស្រួយស្រែស	ស・ម・្・ដ・ី・ស・្・រ・ួ・យ・ស・្・រ・ែ・ស
សម្ដីស្លាក់ស្លែង	ស・ម・្・ដ・ី・ស・្・ល・ា・ក・់・ស・្・ល・ែ・ង
សម្ដីស្លែងស្លាក់	ស・ម・្・ដ・ី・ស・្・ល・ែ・ង・ស・្・ល・ា・ក・់
ស៊ុនសម្ដី	ស・៊・ុ・ន・ស・ម・្・ដ・ី
ឡើងសម្ដី	ឡ・ើ・ង・ស・ម・្・ដ・ី
សម្ដេចព្រះអឃ៌អគ្គមហេសី	ស・ម・្・ដ・េ・ច・ព・្・រ・ះ・អ・ឃ・៌・អ・គ・្・គ・ម・ហ・េ・ស・ី
ម្ដាយអណ្ដើក	ម・្・ដ・ា・យ・អ・ណ・្・ដ・ើ・ក
សម្ដីអម	ស・ម・្・ដ・ី・អ・ម
ភិក្ខុសម្ដែងអាបត្តិ	ភ・ិ・ក・្・ខ・ុ・ស・ម・្・ដ・ែ・ង・អ・ា・ប・ត・្・ត・ិ
សម្ដីមានឱតភ័ន្ត	ស・ម・្・ដ・ី・ម・ា・ន・ឱ・ត・ភ・័・ន・្・ត
កម្ដៅ	ក・ម・្・ដ・ៅ
កម្ដៅ	ក・ម・្・ដ・ៅ
សម្ដេច	ស・ម・្・ដ・េ・ច
សម្ដេច	ស・ម・្・ដ・េ・ច
សម្ដែង	ស・ម・្・ដ・ែ・ង
