សក្ដិធរ	សក្ដិធរ	ស・ក・្・ដ・ិ・ធ・រ
សក្ដិភូមិ	សក្ដិ|ភូមិ	ស・ក・្・ដ・ិ・ភ・ូ・ម・ិ
សមណសក្ដិ	សមណ|សក្ដិ	ស・ម・ណ・ស・ក・្・ដ・ិ
សមណសក្ដិទីរាជាគណៈខាងគណៈធម្មយុត្តិកនិកាយ	សមណ|សក្ដិ|ទី|រាជា|គណៈ|ខាង|គណៈ|ធម្ម|យុត្តិក|និកាយ	ស・ម・ណ・ស・ក・្・ដ・ិ・ទ・ី・រ・ា・ជ・ា・គ・ណ・ៈ・ខ・ា・ង・គ・ណ・ៈ・ធ・ម・្・ម・យ・ុ・ត・្・ត・ិ・ក・ន・ិ・ក・ា・យ
សមណសក្ដិទីរាជាគណៈខាងគណៈមហានិកាយ	សមណ|សក្ដិ|ទី|រាជា|គណៈ|ខាង|គណៈ|មហា|និកាយ	ស・ម・ណ・ស・ក・្・ដ・ិ・ទ・ី・រ・ា・ជ・ា・គ・ណ・ៈ・ខ・ា・ង・គ・ណ・ៈ・ម・ហ・ា・ន・ិ・ក・ា・យ
សមណស័ក្ដិ	សមណ|ស័ក្ដិ	ស・ម・ណ・ស・័・ក・្・ដ・ិ
សមណស័ក្ដិទីរាជាគណៈសម្រាប់ត្រី	សមណ|ស័ក្ដិ|ទី|រាជា|គណៈ|សម្រាប់|ត្រី	ស・ម・ណ・ស・័・ក・្・ដ・ិ・ទ・ី・រ・ា・ជ・ា・គ・ណ・ៈ・ស・ម・្・រ・ា・ប・់・ត・្・រ・ី
សមណស័ក្ដិទីរាជាគណៈសម្រាប់ទោ	សមណ|ស័ក្ដិ|ទី|រាជា|គណៈ|សម្រាប់|ទោ	ស・ម・ណ・ស・័・ក・្・ដ・ិ・ទ・ី・រ・ា・ជ・ា・គ・ណ・ៈ・ស・ម・្・រ・ា・ប・់・ទ・ោ
សមណស័ក្ដិទីរាជាគណៈសម្រាប់ឯក	សមណ|ស័ក្ដិ|ទី|រាជា|គណៈ|សម្រាប់|ឯក	ស・ម・ណ・ស・័・ក・្・ដ・ិ・ទ・ី・រ・ា・ជ・ា・គ・ណ・ៈ・ស・ម・្・រ・ា・ប・់・ឯ・ក
សមណស័ក្ដិរាជាគណៈសម្រាប់ចត្វា	សមណ|ស័ក្ដិ|រាជា|គណៈ|សម្រាប់|ចត្វា	ស・ម・ណ・ស・័・ក・្・ដ・ិ・រ・ា・ជ・ា・គ・ណ・ៈ・ស・ម・្・រ・ា・ប・់・ច・ត・្・វ・ា
