កុម្មុយនីស្ដ	ក・ុ・ម・្・ម・ុ・យ・ន・ី・ស・្・ដ
ស្ដួចឆ្មារ	ស・្・ដ・ួ・ច・ឆ・្・ម・ា・រ
ស្ដួចស្ដើង	ស・្・ដ・ួ・ច・ស・្・ដ・ើ・ង
ស្ដួចស្ដើង	ស・្・ដ・ួ・ច・ស・្・ដ・ើ・ង
ស្ដើងស្ដួច	ស・្・ដ・ើ・ង・ស・្・ដ・ួ・ច
ស្ដើងស្ដួច	ស・្・ដ・ើ・ង・ស・្・ដ・ួ・ច
ស្ដើង	ស・្・ដ・ើ・ង
ម្ហូបស្ដើង	ម・្・ហ・ូ・ប・ស・្・ដ・ើ・ង
ស្ដើងហៀ	ស・្・ដ・ើ・ង・ហ・ៀ
ស្ដៀង	ស・្・ដ・ៀ・ង
ស្ដៀន	ស・្・ដ・ៀ・ន
តឹងស្ដៀន	ត・ឹ・ង・ស・្・ដ・ៀ・ន
ស្ដេច	ស・្・ដ・េ・ច
ស្ដេចភ្នំ	ស・្・ដ・េ・ច・ភ・្・ន・ំ
ស្ដេចម្រឹគ	ស・្・ដ・េ・ច・ម・្・រ・ឹ・គ
ស្ដេចសត្វ	ស・្・ដ・េ・ច・ស・ត・្・វ
ស្ដេចស្ដែង	ស・្・ដ・េ・ច・ស・្・ដ・ែ・ង
ស្ដេចស្ដែង	ស・្・ដ・េ・ច・ស・្・ដ・ែ・ង
ស្ដែងស្ដេច	ស・្・ដ・ែ・ង・ស・្・ដ・េ・ច
ស្ដែងស្ដេច	ស・្・ដ・ែ・ង・ស・្・ដ・េ・ច
ស្ដេច	ស・្・ដ・េ・ច
ឡើងជាស្ដេច	ឡ・ើ・ង・ជ・ា・ស・្・ដ・េ・ច
ស្ដេចចង់	ស・្・ដ・េ・ច・ច・ង・់
ស្ដេចដើរ	ស・្・ដ・េ・ច・ដ・ើ・រ
ស្ដេចត្រាញ់	ស・្・ដ・េ・ច・ត・្・រ・ា・ញ・់
ស្ដេចផ្ទំ	ស・្・ដ・េ・ច・ផ・្・ទ・ំ
ស្ដែង	ស・្・ដ・ែ・ង
ស្ដែងស្ដាប់	ស・្・ដ・ែ・ង・ស・្・ដ・ា・ប・់
ស្ដែងស្ដាប់	ស・្・ដ・ែ・ង・ស・្・ដ・ា・ប・់
ស្ដោះ	ស・្・ដ・ោ・ះ
ស្ដោះដាក់	ស・្・ដ・ោ・ះ・ដ・ា・ក・់
ស្ដោះផ្លុំ	ស・្・ដ・ោ・ះ・ផ・្・ល・ុ・ំ
ស្ដោះព្រួស	ស・្・ដ・ោ・ះ・ព・្・រ・ួ・ស
ស្ដៅ	ស・្・ដ・ៅ
ស្ដៅ	ស・្・ដ・ៅ
ស្ដាំ	ស・្・ដ・ា・ំ
មនុស្សស្ដាំ	ម・ន・ុ・ស・្・ស・ស・្・ដ・ា・ំ
ស្ដាំដៃ	ស・្・ដ・ា・ំ・ដ・ៃ
ស្ដាំនិយម	ស・្・ដ・ា・ំ・ន・ិ・យ・ម
ស្ថាពរព័ស្ដុ	ស・្・ថ・ា・ព・រ・ព・័・ស・្・ដ・ុ
ស្ថាវរព័ស្ដុ	ស・្・ថ・ា・វ・រ・ព・័・ស・្・ដ・ុ
ស្នងព្រះហស្ដ	ស・្・ន・ង・ព・្・រ・ះ・ហ・ស・្・ដ
ស្ប័ស្ដ	ស・្・ប・័・ស・្・ដ
ស្រងាកស្ដាប់ផ្គរ	ស・្・រ・ង・ា・ក・ស・្・ដ・ា・ប・់・ផ・្・គ・រ
ស្រាលស្ដើង	ស・្・រ・ា・ល・ស・្・ដ・ើ・ង
ស្រីសួស្ដី	ស・្・រ・ី・ស・ួ・ស・្・ដ・ី
ស្វស្ដិ	ស・្・វ・ស・្・ដ・ិ
ស្វស្ដិក	ស・្・វ・ស・្・ដ・ិ・ក
ស្វស្ដិកៈ	ស・្・វ・ស・្・ដ・ិ・ក・ៈ
ស្វស្ដី	ស・្・វ・ស・្・ដ・ី
ស្វស្ដិភាព	ស・្・វ・ស・្・ដ・ិ・ភ・ា・ព
ស្វស្ដិមង្គល	ស・្・វ・ស・្・ដ・ិ・ម・ង・្・គ・ល
ស្វស្ដិសុខ	ស・្・វ・ស・្・ដ・ិ・ស・ុ・ខ
ហស្ដិន	ហ・ស・្・ដ・ិ・ន
ព្រះហស្ដលេខា	ព・្・រ・ះ・ហ・ស・្・ដ・ល・េ・ខ・ា
ហិរណ្យព័ស្ដុ	ហ・ិ・រ・ណ・្・យ・ព・័・ស・្・ដ・ុ
ស្ដីថាហោកមាត់ហោកក	ស・្・ដ・ី・ថ・ា・ហ・ោ・ក・ម・ា・ត・់・ហ・ោ・ក・ក
