សេចក្តីសំរេចចិត្ត	ស・េ・ច・ក・្・ត・ី・ស・ំ・រ・េ・ច・ច・ិ・ត・្・ត
កាត់ក្តី	ក・ា・ត・់・ក・្・ត・ី
ទូលក្តុល	ទ・ូ・ល・ក・្・ត・ុ・ល
ក្តាត	ក・្・ត・ា・ត
ក្តួល	ក・្・ត・ួ・ល
សេចក្តីសុចរិត	ស・េ・ច・ក・្・ត・ី・ស・ុ・ច・រ・ិ・ត
ក្តីត្នោត	ក・្・ត・ី・ត・្・ន・ោ・ត
រាជសក្តិ	រ・ា・ជ・ស・ក・្・ត・ិ
បរិភោក្តា	ប・រ・ិ・ភ・ោ・ក・្・ត・ា
ក្តុល	ក・្・ត・ុ・ល
ក្តីដូង	ក・្・ត・ី・ដ・ូ・ង
ក្តីចារ្យ	ក・្・ត・ី・ច・ា・រ・្・យ
ស្លាបក្តោង	ស・្・ល・ា・ប・ក・្・ត・ោ・ង
ពិភ័ក្តិ	ព・ិ・ភ・័・ក・្・ត・ិ
ក្តួលក្តុក	ក・្・ត・ួ・ល・ក・្・ត・ុ・ក
ក្តួលក្តុក	ក・្・ត・ួ・ល・ក・្・ត・ុ・ក
ត្រពាំងក្តុល	ត・្・រ・ព・ា・ំ・ង・ក・្・ត・ុ・ល
ក្តីមេត្តា	ក・្・ត・ី・ម・េ・ត・្・ត・ា
បានសេចក្តីថា	ប・ា・ន・ស・េ・ច・ក・្・ត・ី・ថ・ា
ក្តោប	ក・្・ត・ោ・ប
ក្តីស្គា	ក・្・ត・ី・ស・្・គ・ា
ឯសេចក្តី	ឯ・ស・េ・ច・ក・្・ត・ី
ក្តីក្តាំ	ក・្・ត・ី・ក・្・ត・ា・ំ
ក្តីក្តាំ	ក・្・ត・ី・ក・្・ត・ា・ំ
ដឹងក្តី	ដ・ឹ・ង・ក・្・ត・ី
បឹងក្តុល	ប・ឹ・ង・ក・្・ត・ុ・ល
លក្តិណា	ល・ក・្・ត・ិ・ណ・ា
ក្តឿងរាយ	ក・្・ត・ឿ・ង・រ・ា・យ
គោកក្តួច	គ・ោ・ក・ក・្・ត・ួ・ច
សេចក្តីត្រូវ	ស・េ・ច・ក・្・ត・ី・ត・្・រ・ូ・វ
ធំដឹងក្តី	ធ・ំ・ដ・ឹ・ង・ក・្・ត・ី
រយៈសេចក្តី	រ・យ・ៈ・ស・េ・ច・ក・្・ត・ី
ត្បូងក្តី	ត・្・ប・ូ・ង・ក・្・ត・ី
