កករចិត្ត	កករ|ចិត្ត	ក・ក・រ・ច・ិ・ត・្・ត
ចិត្តទូលាយ	ចិត្ត|ទូលាយ	ច・ិ・ត・្・ត・ទ・ូ・ល・ា・យ
ចិត្តធំ	ចិត្ត|ធំ	ច・ិ・ត・្・ត・ធ・ំ
ចិត្តធ្ងន់	ចិត្ត|ធ្ងន់	ច・ិ・ត・្・ត・ធ・្・ង・ន・់
ចិត្តពាល	ចិត្ត|ពាល	ច・ិ・ត・្・ត・ព・ា・ល
ចិត្តព្យាបាល	ចិត្ត|ព្យាបាល	ច・ិ・ត・្・ត・ព・្・យ・ា・ប・ា・ល
ចិត្តព្រែក	ចិត្ត|ព្រែក	ច・ិ・ត・្・ត・ព・្・រ・ែ・ក
ចិត្តព្រះ	ចិត្ត|ព្រះ	ច・ិ・ត・្・ត・ព・្・រ・ះ
ចិត្តមច្ឆេរមិច្ឆា	ចិត្ត|មច្ឆេរ|មិច្ឆា	ច・ិ・ត・្・ត・ម・ច・្・ឆ・េ・រ・ម・ិ・ច・្・ឆ・ា
ចិត្តមុត	ចិត្ត|មុត	ច・ិ・ត・្・ត・ម・ុ・ត
ចិត្តរាក់	ចិត្ត|រាក់	ច・ិ・ត・្・ត・រ・ា・ក・់
ចិត្តរឹល	ចិត្ត|រឹល	ច・ិ・ត・្・ត・រ・ឹ・ល
ចិត្តរួញ	ចិត្ត|រួញ	ច・ិ・ត・្・ត・រ・ួ・ញ
ចិត្តរំជួល	ចិត្ត|រំជួល	ច・ិ・ត・្・ត・រ・ំ・ជ・ួ・ល
ចិត្តរំភើប	ចិត្ត|រំភើប	ច・ិ・ត・្・ត・រ・ំ・ភ・ើ・ប
ចិត្តល្អៀង	ចិត្ត|ល្អៀង	ច・ិ・ត・្・ត・ល・្・អ・ៀ・ង
ចិត្តវិជ្ជា	ចិត្ត|វិជ្ជា	ច・ិ・ត・្・ត・វ・ិ・ជ・្・ជ・ា
ចិត្តវិទ្យា	ចិត្ត|វិទ្យា	ច・ិ・ត・្・ត・វ・ិ・ទ・្・យ・ា
ចិត្តវិវេក	ចិត្ត|វិវេក	ច・ិ・ត・្・ត・វ・ិ・វ・េ・ក
ចិត្តសង្ខារ	ចិត្ត|សង្ខារ	ច・ិ・ត・្・ត・ស・ង・្・ខ・ា・រ
ចិត្តសមុដ្ឋាន	ចិត្ត|សមុដ្ឋាន	ច・ិ・ត・្・ត・ស・ម・ុ・ដ・្・ឋ・ា・ន
ចិត្តសាមាន្យ	ចិត្ត|សាមាន្យ	ច・ិ・ត・្・ត・ស・ា・ម・ា・ន・្・យ
ចិត្តសាស្ត្រ	ចិត្ត|សាស្ត្រ	ច・ិ・ត・្・ត・ស・ា・ស・្・ត・្・រ
ចិត្តសោមនស្ស	ចិត្ត|សោមនស្ស	ច・ិ・ត・្・ត・ស・ោ・ម・ន・ស・្・ស
ចិត្តស្ងប់	ចិត្ត|ស្ងប់	ច・ិ・ត・្・ត・ស・្・ង・ប・់
ចិត្តស្រាល	ចិត្ត|ស្រាល	ច・ិ・ត・្・ត・ស・្・រ・ា・ល
ចិត្តស្លុយ	ចិត្ត|ស្លុយ	ច・ិ・ត・្・ត・ស・្・ល・ុ・យ
ចិត្តហានក្លា	ចិត្ត|ហានក្លា	ច・ិ・ត・្・ត・ហ・ា・ន・ក・្・ល・ា
ចិត្តហេងហាង	ចិត្ត|ហេង|ហាង	ច・ិ・ត・្・ត・ហ・េ・ង・ហ・ា・ង
ចិត្តអន្យតិរ្ថិយ	ចិត្ត|អន្យ|តិរ្ថិយ	ច・ិ・ត・្・ត・អ・ន・្・យ・ត・ិ・រ・្・ថ・ិ・យ
ចិត្តអប្រិយ	ចិត្ត|អប្រិយ	ច・ិ・ត・្・ត・អ・ប・្・រ・ិ・យ
ចិត្តានុរូប	ចិត្តានុរូប	ច・ិ・ត・្・ត・ា・ន・ុ・រ・ូ・ប
ចិត្តុម្មត្តកៈ	ចិត្តុម្មត្តកៈ	ច・ិ・ត・្・ត・ុ・ម・្・ម・ត・្・ត・ក・ៈ
ចិត្តុម្មត្តកៈ	ចិត្តុម្មត្តកៈ	ច・ិ・ត・្・ត・ុ・ម・្・ម・ត・្・ត・ក・ៈ
ចិត្ត—	ចិត្ត|—	ច・ិ・ត・្・ត・—
ចុះចិត្ត	ចុះ|ចិត្ត	ច・ុ・ះ・ច・ិ・ត・្・ត
ចូលចិត្ត	ចូល|ចិត្ត	ច・ូ・ល・ច・ិ・ត・្・ត
ចោរម័ត្ត	ចោរ|ម័ត្ត	ច・ោ・រ・ម・័・ត・្・ត
ចំណុចចិត្ត	ចំណុច|ចិត្ត	ច・ំ・ណ・ុ・ច・ច・ិ・ត・្・ត
ឆន្ទវុត្តិប្បទីប	ឆន្ទ|វុត្តិ|ប្បទីប	ឆ・ន・្・ទ・វ・ុ・ត・្・ត・ិ・ប・្・ប・ទ・ី・ប
ឆ្កួតចិត្ត	ឆ្កួត|ចិត្ត	ឆ・្・ក・ួ・ត・ច・ិ・ត・្・ត
ឆ្អែតចិត្ត	ឆ្អែត|ចិត្ត	ឆ・្・អ・ែ・ត・ច・ិ・ត・្・ត
ជក់ចិត្ត	ជក់|ចិត្ត	ជ・ក・់・ច・ិ・ត・្・ត
ជនេត្តិកា	ជនេត្តិកា	ជ・ន・េ・ត・្・ត・ិ・ក・ា
ជនេត្តី	ជនេត្តី	ជ・ន・េ・ត・្・ត・ី
ជនោត្តម	ជនោត្តម	ជ・ន・ោ・ត・្・ត・ម
ជវនចិត្ត	ជវន|ចិត្ត	ជ・វ・ន・ច・ិ・ត・្・ត
ជាតីឧត្តម	ជា|តី|ឧត្តម	ជ・ា・ត・ី・ឧ・ត・្・ត・ម
ជាប់ចិត្ត	ជាប់|ចិត្ត	ជ・ា・ប・់・ច・ិ・ត・្・ត
ជាលបត្តសត្វ	ជា|លបត្ត|សត្វ	ជ・ា・ល・ប・ត・្・ត・ស・ត・្・វ
ជីវប្បវត្តិ	ជីវ|ប្បវត្តិ	ជ・ី・វ・ប・្・ប・វ・ត・្・ត・ិ
ជីវប្រវត្តិ	ជីវ|ប្រវត្តិ	ជ・ី・វ・ប・្・រ・វ・ត・្・ត・ិ
ជីវព្រឹត្តិ	ជីវ|ព្រឹត្តិ	ជ・ី・វ・ព・្・រ・ឹ・ត・្・ត・ិ
ជើងវត្ត	ជើង|វត្ត	ជ・ើ・ង・វ・ត・្・ត
ជេតុត្តរ	ជេតុត្តរ	ជ・េ・ត・ុ・ត・្・ត・រ
ជំងឺចិត្ត	ជំងឺ|ចិត្ត	ជ・ំ・ង・ឺ・ច・ិ・ត・្・ត
ជំងឺផ្លូវចិត្ត	ជំងឺ|ផ្លូវ|ចិត្ត	ជ・ំ・ង・ឺ・ផ・្・ល・ូ・វ・ច・ិ・ត・្・ត
ឈានចិត្ត	ឈាន|ចិត្ត	ឈ・ា・ន・ច・ិ・ត・្・ត
ឈឺចិត្ត	ឈឺ|ចិត្ត	ឈ・ឺ・ច・ិ・ត・្・ត
ញត្តិ	ញត្តិ	ញ・ត・្・ត・ិ
ញត្តិកឋិន	ញត្តិក|ឋិន	ញ・ត・្・ត・ិ・ក・ឋ・ិ・ន
ញត្តិកម្ម	ញត្តិ|កម្ម	ញ・ត・្・ត・ិ・ក・ម・្・ម
ញត្តិចតុត្ថកម្ម	ញត្តិច|តុ|ត្ថ|កម្ម	ញ・ត・្・ត・ិ・ច・ត・ុ・ត・្・ថ・ក・ម・្・ម
ញត្តិទុតិយកម្ម	ញត្តិ|ទុតិយ|កម្ម	ញ・ត・្・ត・ិ・ទ・ុ・ត・ិ・យ・ក・ម・្・ម
ញត្តិនាគ	ញត្តិ|នាគ	ញ・ត・្・ត・ិ・ន・ា・គ
ញាណវិប្បយុត្ត	ញាណ|វិប្ប|យុត្ត	ញ・ា・ណ・វ・ិ・ប・្・ប・យ・ុ・ត・្・ត
ញាណសម្បយុត្ត	ញាណ|សម្បយុត្ត	ញ・ា・ណ・ស・ម・្・ប・យ・ុ・ត・្・ត
ញាតិបុត្ត	ញាតិ|បុត្ត	ញ・ា・ត・ិ・ប・ុ・ត・្・ត
ញោមវត្ត	ញោម|វត្ត	ញ・ោ・ម・វ・ត・្・ត
ដាក់ចិត្ត	ដាក់|ចិត្ត	ដ・ា・ក・់・ច・ិ・ត・្・ត
