កករចិត្ត	កករ|ចិត្ត	ក・ក・រ・ច・ិ・ត・្・ត
វិសមានចិត្ត	វិស|មាន|ចិត្ត	វ・ិ・ស・ម・ា・ន・ច・ិ・ត・្・ត
វិសយប្បវត្តិ	វិសយ|ប្បវត្តិ	វ・ិ・ស・យ・ប・្・ប・វ・ត・្・ត・ិ
វិសយប្រវត្តិ	វិសយ|ប្រវត្តិ	វ・ិ・ស・យ・ប・្・រ・វ・ត・្・ត・ិ
វិសុទ្ធចិត្ត	វិសុទ្ធ|ចិត្ត	វ・ិ・ស・ុ・ទ・្・ធ・ច・ិ・ត・្・ត
វិស្សាសិកមិត្ត	វិស្សា|សិក|មិត្ត	វ・ិ・ស・្・ស・ា・ស・ិ・ក・ម・ិ・ត・្・ត
វីថិចិត្ត	វី|ថិចិត្ត	វ・ី・ថ・ិ・ច・ិ・ត・្・ត
វីរិយសម្បត្តិ	វីរិយ|សម្បត្តិ	វ・ី・រ・ិ・យ・ស・ម・្・ប・ត・្・ត・ិ
វុត្ត	វុត្ត	វ・ុ・ត・្・ត
វុត្តការណ៍	វុត្ត|ការណ៍	វ・ុ・ត・្・ត・ក・ា・រ・ណ・៍
វុត្តដ្ឋាន	វុត្តដ្ឋាន	វ・ុ・ត・្・ត・ដ・្・ឋ・ា・ន
វុត្តនិយម	វុត្ត|និយម	វ・ុ・ត・្・ត・ន・ិ・យ・ម
វុត្តនិយាម	វុត្ត|និយាម	វ・ុ・ត・្・ត・ន・ិ・យ・ា・ម
វុត្តន័យ	វុត្តន័យ	វ・ុ・ត・្・ត・ន・័・យ
វុត្តប្បមាណ	វុត្ត|ប្បមាណ	វ・ុ・ត・្・ត・ប・្・ប・ម・ា・ណ
វុត្តពីជ	វុត្ត|ពី|ជ	វ・ុ・ត・្・ត・ព・ី・ជ
វុត្តពូជ	វុត្ត|ពូជ	វ・ុ・ត・្・ត・ព・ូ・ជ
វុត្តភាព	វុត្ត|ភាព	វ・ុ・ត・្・ត・ភ・ា・ព
វុត្តវាចា	វុត្ត|វាចា	វ・ុ・ត・្・ត・វ・ា・ច・ា
វុត្តវាទ	វុត្ត|វាទ	វ・ុ・ត・្・ត・វ・ា・ទ
វុត្តានុក្រម	វុត្តានុក្រម	វ・ុ・ត・្・ត・ា・ន・ុ・ក・្・រ・ម
វុត្តិ	វុត្តិ	វ・ុ・ត・្・ត・ិ
វុត្តិកម្ម	វុត្តិ|កម្ម	វ・ុ・ត・្・ត・ិ・ក・ម・្・ម
វុត្តិភាព	វុត្តិភាព	វ・ុ・ត・្・ត・ិ・ភ・ា・ព
វុត្តោទ័យ	វុត្តោទ័យ	វ・ុ・ត・្・ត・ោ・ទ・័・យ
វូបសន្តចិត្ត	វូប|សន្ត|ចិត្ត	វ・ូ・ប・ស・ន・្・ត・ច・ិ・ត・្・ត
វេចទុកតែក្នុងចិត្ត	វេច|ទុក|តែ|ក្នុង|ចិត្ត	វ・េ・ច・ទ・ុ・ក・ត・ែ・ក・្・ន・ុ・ង・ច・ិ・ត・្・ត
វេជ្ជប្បញ្ញត្តិ	វេជ្ជ|ប្បញ្ញត្តិ	វ・េ・ជ・្・ជ・ប・្・ប・ញ・្・ញ・ត・្・ត・ិ
វេទនានុវត្តន៍	វេទនានុវត្តន៍	វ・េ・ទ・ន・ា・ន・ុ・វ・ត・្・ត・ន・៍
វេបចិត្តិ	វេបចិត្តិ	វ・េ・ប・ច・ិ・ត・្・ត・ិ
សកនិរុត្តិ	សក|និរុត្តិ	ស・ក・ន・ិ・រ・ុ・ត・្・ត・ិ
សកាយនិរុត្តិ	សកាយ|និរុត្តិ	ស・ក・ា・យ・ន・ិ・រ・ុ・ត・្・ត・ិ
សក្យបុត្តិយ៍	សក្យ|បុត្តិយ៍	ស・ក・្・យ・ប・ុ・ត・្・ត・ិ・យ・៍
សគោត្ត	សគោត្ត	ស・គ・ោ・ត・្・ត
សង្កិលេសិកចិត្ត	សង្កិលេសិក|ចិត្ត	ស・ង・្・ក・ិ・ល・េ・ស・ិ・ក・ច・ិ・ត・្・ត
សង្កៀរចិត្ត	សង្កៀរ|ចិត្ត	ស・ង・្・ក・ៀ・រ・ច・ិ・ត・្・ត
សង្ខិត្ត	សង្ខិត្ត	ស・ង・្・ខ・ិ・ត・្・ត
សង្ខិត្តកថា	សង្ខិត្ត|កថា	ស・ង・្・ខ・ិ・ត・្・ត・ក・ថ・ា
សង្ខិត្តចិត្ត	សង្ខិត្ត|ចិត្ត	ស・ង・្・ខ・ិ・ត・្・ត・ច・ិ・ត・្・ត
សង្ខិត្តចិត្ត	សង្ខិត្ត|ចិត្ត	ស・ង・្・ខ・ិ・ត・្・ត・ច・ិ・ត・្・ត
សង្ខិត្តន័យ	សង្ខិត្ត|ន័យ	ស・ង・្・ខ・ិ・ត・្・ត・ន・័・យ
សង្ខោភចិត្ត	សង្ខោភ|ចិត្ត	ស・ង・្・ខ・ោ・ភ・ច・ិ・ត・្・ត
សង្គមប្រវត្តិ	សង្គម|ប្រវត្តិ	ស・ង・្・គ・ម・ប・្・រ・វ・ត・្・ត・ិ
សង្គីតិប្រវត្តិ	សង្គីតិ|ប្រវត្តិ	ស・ង・្・គ・ី・ត・ិ・ប・្・រ・វ・ត・្・ត・ិ
សង្ឃភត្ត	សង្ឃ|ភត្ត	ស・ង・្・ឃ・ភ・ត・្・ត
សង្ឃាណត្តិ	សង្ឃាណត្តិ	ស・ង・្・ឃ・ា・ណ・ត・្・ត・ិ
សង្រ្គាមចិត្តសាស្រ្ត	សង្រ្គាម|ចិត្ត|សាស្រ្ត	ស・ង・្・រ・្・គ・ា・ម・ច・ិ・ត・្・ត・ស・ា・ស・្・រ・្・ត
សចិត្តកកម្ម	សចិត្ត|កកម្ម	ស・ច・ិ・ត・្・ត・ក・ក・ម・្・ម
សចិត្តកទោស	សចិត្ត|កទោស	ស・ច・ិ・ត・្・ត・ក・ទ・ោ・ស
សចិត្តកាបត្តិ	សចិត្ត|កាបត្តិ	ស・ច・ិ・ត・្・ត・ក・ា・ប・ត・្・ត・ិ
សចិត្តកាបត្តិ	សចិត្ត|កាបត្តិ	ស・ច・ិ・ត・្・ត・ក・ា・ប・ត・្・ត・ិ
សចិត្តកៈ	សចិត្ត|កៈ	ស・ច・ិ・ត・្・ត・ក・ៈ
សញ្ញាវិបត្តិ	សញ្ញា|វិបត្តិ	ស・ញ・្・ញ・ា・វ・ិ・ប・ត・្・ត・ិ
សតបត្ត	សតបត្ត	ស・ត・ប・ត・្・ត
សតបទីសត្ត	សតប|ទី|សត្ត	ស・ត・ប・ទ・ី・ស・ត・្・ត
សតេកិច្ឆាបត្តិ	សតេកិច្ឆា|បត្តិ	ស・ត・េ・ក・ិ・ច・្・ឆ・ា・ប・ត・្・ត・ិ
សត្ត	សត្ត	ស・ត・្・ត
សត្តកោណ	សត្ត|កោណ	ស・ត・្・ត・ក・ោ・ណ
សត្តកោណនិយ័ត	សត្ត|កោណ|និយ័ត	ស・ត・្・ត・ក・ោ・ណ・ន・ិ・យ・័・ត
សត្តក្ខ័យ	សត្តក្ខ័យ	ស・ត・្・ត・ក・្・ខ・័・យ
សត្តខណ្ឌ	សត្ត|ខណ្ឌ	ស・ត・្・ត・ខ・ណ・្・ឌ
សត្តគុណ	សត្ត|គុណ	ស・ត・្・ត・គ・ុ・ណ
សត្តឃាត	សត្ត|ឃាត	ស・ត・្・ត・ឃ・ា・ត
សត្តឃាតកៈ	សត្ត|ឃាតកៈ	ស・ត・្・ត・ឃ・ា・ត・ក・ៈ
សត្តឃាតដ្ឋាន	សត្ត|ឃាត|ដ្ឋាន	ស・ត・្・ត・ឃ・ា・ត・ដ・្・ឋ・ា・ន
សត្តឃាតិកា	សត្ត|ឃាតិកា	ស・ត・្・ត・ឃ・ា・ត・ិ・ក・ា
សត្តទិន	សត្ត|ទិន	ស・ត・្・ត・ទ・ិ・ន
សត្តនាយក	សត្ត|នាយក	ស・ត・្・ត・ន・ា・យ・ក
សត្តនិករ	សត្តនិករ	ស・ត・្・ត・ន・ិ・ក・រ
សត្តនិកាយ	សត្ត|និកាយ	ស・ត・្・ត・ន・ិ・ក・ា・យ
សត្តបង្ក័ជ	សត្ត|បង្ក័ជ	ស・ត・្・ត・ប・ង・្・ក・័・ជ
សត្តបរិភណ្ឌ	សត្ត|បរិភណ្ឌ	ស・ត・្・ត・ប・រ・ិ・ភ・ណ・្・ឌ
សត្តបុស្ប	សត្ត|បុស្ប	ស・ត・្・ត・ប・ុ・ស・្・ប
សត្តបុស្យ	សត្ត|បុស្យ	ស・ត・្・ត・ប・ុ・ស・្・យ
សត្តបុស្ស	សត្ត|បុស្ស	ស・ត・្・ត・ប・ុ・ស・្・ស
សត្តប័ត្រ	សត្ត|ប័ត្រ	ស・ត・្・ត・ប・័・ត・្・រ
សត្តប្បករណាភិធម្ម	សត្ត|ប្បករណា|ភិធម្ម	ស・ត・្・ត・ប・្・ប・ក・រ・ណ・ា・ភ・ិ・ធ・ម・្・ម
សត្តប្បករណ៍	សត្ត|ប្បករណ៍	ស・ត・្・ត・ប・្・ប・ក・រ・ណ・៍
សត្តពារ	សត្ត|ពារ	ស・ត・្・ត・ព・ា・រ
សត្តពិធ	សត្ត|ពិធ	ស・ត・្・ត・ព・ិ・ធ
សត្តភូតគាម	សត្ត|ភូត|គាម	ស・ត・្・ត・ភ・ូ・ត・គ・ា・ម
សត្តភូមិក	សត្ត|ភូមិក	ស・ត・្・ត・ភ・ូ・ម・ិ・ក
សត្តម	សត្តម	ស・ត・្・ត・ម
សត្តមទិន	សត្តម|ទិន	ស・ត・្・ត・ម・ទ・ិ・ន
សត្តមភូមិ	សត្តម|ភូមិ	ស・ត・្・ត・ម・ភ・ូ・ម・ិ
សត្តមវារៈ	សត្តម|វារៈ	ស・ត・្・ត・ម・វ・ា・រ・ៈ
សត្តមហាឋាន	សត្ត|មហា|ឋាន	ស・ត・្・ត・ម・ហ・ា・ឋ・ា・ន
សត្តមាស	សត្តមាស	ស・ត・្・ត・ម・ា・ស
សត្តមី	សត្តមី	ស・ត・្・ត・ម・ី
សត្តមីវិភត្តិនាម	សត្ត|មីវិភត្តិ|នាម	ស・ត・្・ត・ម・ី・វ・ិ・ភ・ត・្・ត・ិ・ន・ា・ម
សត្តមីវិភត្តិនាម	សត្ត|មីវិភត្តិ|នាម	ស・ត・្・ត・ម・ី・វ・ិ・ភ・ត・្・ត・ិ・ន・ា・ម
សត្តលោក	សត្ត|លោក	ស・ត・្・ត・ល・ោ・ក
សត្តវង្កជាតិ	សត្ត|វង្ក|ជាតិ	ស・ត・្・ត・វ・ង・្・ក・ជ・ា・ត・ិ
សត្តវារៈ	សត្ត|វារៈ	ស・ត・្・ត・វ・ា・រ・ៈ
សត្តវិជ្ជា	សត្ត|វិជ្ជា	ស・ត・្・ត・វ・ិ・ជ・្・ជ・ា
សត្តវិទ្យា	សត្ត|វិទ្យា	ស・ត・្・ត・វ・ិ・ទ・្・យ・ា
សត្តសញ្ញា	សត្ត|សញ្ញា	ស・ត・្・ត・ស・ញ・្・ញ・ា
សត្តសារ	សត្ត|សារ	ស・ត・្・ត・ស・ា・រ
សត្តាហករណីយកិច្ច	សត្តា|ហករណីយ|កិច្ច	ស・ត・្・ត・ា・ហ・ក・រ・ណ・ី・យ・ក・ិ・ច・្・ច
សត្តាហកាលិក	សត្តា|ហកាលិក	ស・ត・្・ត・ា・ហ・ក・ា・ល・ិ・ក
សត្តាហកិច្ច	សត្តា|ហកិច្ច	ស・ត・្・ត・ា・ហ・ក・ិ・ច・្・ច
សត្តាហៈ	សត្តាហៈ	ស・ត・្・ត・ា・ហ・ៈ
សទ្ធាចិត្ត	សទ្ធា|ចិត្ត	ស・ទ・្・ធ・ា・ច・ិ・ត・្・ត
សទ្ធាធិមុត្ត	សទ្ធា|ធិ|មុត្ត	ស・ទ・្・ធ・ា・ធ・ិ・ម・ុ・ត・្・ត
សទ្ធាសម្បយុត្ត	សទ្ធា|សម្បយុត្ត	ស・ទ・្・ធ・ា・ស・ម・្・ប・យ・ុ・ត・្・ត
សទ្ធិវិហារិកវត្ត	សទ្ធិ|វិហារិក|វត្ត	ស・ទ・្・ធ・ិ・វ・ិ・ហ・ា・រ・ិ・ក・វ・ត・្・ត
សទ្ធឹវិហារិកវត្ត	សទ្ធឹវិហារិក|វត្ត	ស・ទ・្・ធ・ឹ・វ・ិ・ហ・ា・រ・ិ・ក・វ・ត・្・ត
សន្តាបចិត្ត	សន្តាប|ចិត្ត	ស・ន・្・ត・ា・ប・ច・ិ・ត・្・ត
សន្ថវមិត្ត	សន្ថវ|មិត្ត	ស・ន・្・ថ・វ・ម・ិ・ត・្・ត
សន្ទិដ្ឋមិត្ត	សន្ទិដ្ឋ|មិត្ត	ស・ន・្・ទ・ិ・ដ・្・ឋ・ម・ិ・ត・្・ត
សន្ទេហចិត្ត	សន្ទេហ|ចិត្ត	ស・ន・្・ទ・េ・ហ・ច・ិ・ត・្・ត
សន្ធានមិត្ត	សន្ធាន|មិត្ត	ស・ន・្・ធ・ា・ន・ម・ិ・ត・្・ត
សបត្តជន	សបត្ត|ជន	ស・ប・ត・្・ត・ជ・ន
សប្បាយចិត្ត	សប្បាយ|ចិត្ត	ស・ប・្・ប・ា・យ・ច・ិ・ត・្・ត
សព្វយុត្ត	សព្វ|យុត្ត	ស・ព・្・វ・យ・ុ・ត・្・ត
សព្វរោគវិនិមុត្ត	សព្វ|រោគ|វិនិមុត្ត	ស・ព・្・វ・រ・ោ・គ・វ・ិ・ន・ិ・ម・ុ・ត・្・ត
សព្វរោគវិមុត្ត	សព្វ|រោគ|វិមុត្ត	ស・ព・្・វ・រ・ោ・គ・វ・ិ・ម・ុ・ត・្・ត
សភាគាបត្តិ	សភា|គាបត្តិ	ស・ភ・ា・គ・ា・ប・ត・្・ត・ិ
សមគោត្ត	សម|គោត្ត	ស・ម・គ・ោ・ត・្・ត
សមគ្គចិត្ត	សមគ្គ|ចិត្ត	ស・ម・គ・្・គ・ច・ិ・ត・្・ត
សមចិត្ត	សម|ចិត្ត	ស・ម・ច・ិ・ត・្・ត
សមណប្បដិបត្តិ	សមណ|ប្បដិបត្តិ	ស・ម・ណ・ប・្・ប・ដ・ិ・ប・ត・្・ត・ិ
សមណសក្ដិទីរាជាគណៈខាងគណៈធម្មយុត្តិកនិកាយ	សមណ|សក្ដិ|ទី|រាជា|គណៈ|ខាង|គណៈ|ធម្ម|យុត្តិក|និកាយ	ស・ម・ណ・ស・ក・្・ដ・ិ・ទ・ី・រ・ា・ជ・ា・គ・ណ・ៈ・ខ・ា・ង・គ・ណ・ៈ・ធ・ម・្・ម・យ・ុ・ត・្・ត・ិ・ក・ន・ិ・ក・ា・យ
សមណុត្តមាភិសេក	សមណុត្តមាភិសេក	ស・ម・ណ・ុ・ត・្・ត・ម・ា・ភ・ិ・ស・េ・ក
សមត្ថចិត្ត	សមត្ថ|ចិត្ត	ស・ម・ត・្・ថ・ច・ិ・ត・្・ត
សមាធិចិត្ត	សមាធិចិត្ត	ស・ម・ា・ធ・ិ・ច・ិ・ត・្・ត
សមានគោត្ត	សមាន|គោត្ត	ស・ម・ា・ន・គ・ោ・ត・្・ត
សមានចិត្ត	សមាន|ចិត្ត	ស・ម・ា・ន・ច・ិ・ត・្・ត
សមាបត្តិ	សមាបត្តិ	ស・ម・ា・ប・ត・្・ត・ិ
សមាហិតចិត្ត	សមាហិត|ចិត្ត	ស・ម・ា・ហ・ិ・ត・ច・ិ・ត・្・ត
សម្បត្តិ	សម្បត្តិ	ស・ម・្・ប・ត・្・ត・ិ
សម្បត្តិភត្តតិរ៉ែ	សម្បត្តិ|ភត្ត|តិរ៉ែ	ស・ម・្・ប・ត・្・ត・ិ・ភ・ត・្・ត・ត・ិ・រ・៉・ែ
សម្បត្តិភត្តតិរ៉ែ	សម្បត្តិ|ភត្ត|តិរ៉ែ	ស・ម・្・ប・ត・្・ត・ិ・ភ・ត・្・ត・ត・ិ・រ・៉・ែ
សម្បត្តិសម្បូណ៌	សម្បត្តិ|សម្បូណ៌	ស・ម・្・ប・ត・្・ត・ិ・ស・ម・្・ប・ូ・ណ・៌
សម្បយុត្ត	សម្បយុត្ត	ស・ម・្・ប・យ・ុ・ត・្・ត
សម្បរិវត្តនភាព	សម្បរិវត្តន|ភាព	ស・ម・្・ប・រ・ិ・វ・ត・្・ត・ន・ភ・ា・ព
សម្បរិវត្តនាការ	សម្បរិវត្ត|នាការ	ស・ម・្・ប・រ・ិ・វ・ត・្・ត・ន・ា・ក・ា・រ
សម្បរិវត្តន៍	សម្បរិវត្តន៍	ស・ម・្・ប・រ・ិ・វ・ត・្・ត・ន・៍
សម្បុកសម្បត្តិ	សម្បុក|សម្បត្តិ	ស・ម・្・ប・ុ・ក・ស・ម・្・ប・ត・្・ត・ិ
សម្ពន្ធមិត្ត	សម្ពន្ធ|មិត្ត	ស・ម・្・ព・ន・្・ធ・ម・ិ・ត・្・ត
សម្ពាធចិត្ត	សម្ពាធ|ចិត្ត	ស・ម・្・ព・ា・ធ・ច・ិ・ត・្・ត
សម្ភត្តមិត្ត	សម្ភ|ត្ត|មិត្ត	ស・ម・្・ភ・ត・្・ត・ម・ិ・ត・្・ត
សម្ភត្តមិត្ត	សម្ភ|ត្ត|មិត្ត	ស・ម・្・ភ・ត・្・ត・ម・ិ・ត・្・ត
សម្ភាវិតចិត្ត	សម្ភាវិត|ចិត្ត	ស・ម・្・ភ・ា・វ・ិ・ត・ច・ិ・ត・្・ត
សម្ភាវិតមិត្ត	សម្ភាវិត|មិត្ត	ស・ម・្・ភ・ា・វ・ិ・ត・ម・ិ・ត・្・ត
សម្ភិតចិត្ត	សម្ភិត|ចិត្ត	ស・ម・្・ភ・ិ・ត・ច・ិ・ត・្・ត
សម្មជ្ជនវត្ត	សម្មជ្ជន|វត្ត	ស・ម・្・ម・ជ・្・ជ・ន・វ・ត・្・ត
សម្មាបដិបត្តិ	សម្មាប|ដិបត្តិ	ស・ម・្・ម・ា・ប・ដ・ិ・ប・ត・្・ត・ិ
សម្រេចចិត្ត	សម្រេច|ចិត្ត	ស・ម・្・រ・េ・ច・ច・ិ・ត・្・ត
សលាកបរិវត្តន៍	សលាក|បរិវត្តន៍	ស・ល・ា・ក・ប・រ・ិ・វ・ត・្・ត・ន・៍
សលាកភត្ត	សលាក|ភត្ត	ស・ល・ា・ក・ភ・ត・្・ត
សលាកានុវត្តន៍	សលាកានុវត្តន៍	ស・ល・ា・ក・ា・ន・ុ・វ・ត・្・ត・ន・៍
សសោះអន្ទងយោងចិត្ត	សសោះ|អន្ទង|យោង|ចិត្ត	ស・ស・ោ・ះ・អ・ន・្・ទ・ង・យ・ោ・ង・ច・ិ・ត・្・ត
សហបុត្ត	សហ|បុត្ត	ស・ហ・ប・ុ・ត・្・ត
សហប្រតិបត្តិការ	សហ|ប្រតិបត្តិការ	ស・ហ・ប・្・រ・ត・ិ・ប・ត・្・ត・ិ・ក・ា・រ
សហវត្ត	សហវត្ត	ស・ហ・វ・ត・្・ត
សហស្សនេត្ត	សហស្ស|នេត្ត	ស・ហ・ស・្・ស・ន・េ・ត・្・ត
សាតចិត្ត	សាត|ចិត្ត	ស・ា・ត・ច・ិ・ត・្・ត
សាធុព្រឹត្តិ	សាធុ|ព្រឹត្តិ	ស・ា・ធ・ុ・ព・្・រ・ឹ・ត・្・ត・ិ
សាមគ្គីមិត្ត	សាមគ្គី|មិត្ត	ស・ា・ម・គ・្・គ・ី・ម・ិ・ត・្・ត
សាមញ្ញប្បដិបត្តិ	សាមញ្ញ|ប្បដិបត្តិ	ស・ា・ម・ញ・្・ញ・ប・្・ប・ដ・ិ・ប・ត・្・ត・ិ
សាមីចិបដិបត្តិ	សាមី|ចិប|ដិបត្តិ	ស・ា・ម・ី・ច・ិ・ប・ដ・ិ・ប・ត・្・ត・ិ
សាមីចិវត្ត	សាមី|ចិវត្ត	ស・ា・ម・ី・ច・ិ・វ・ត・្・ត
សាយភត្ត	សាយ|ភត្ត	ស・ា・យ・ភ・ត・្・ត
សារប្បវត្តិ	សារ|ប្បវត្តិ	ស・ា・រ・ប・្・ប・វ・ត・្・ត・ិ
សារពើយុត្ត	សារពើ|យុត្ត	ស・ា・រ・ព・ើ・យ・ុ・ត・្・ត
សារីបុត្ត	សារីបុត្ត	ស・ា・រ・ី・ប・ុ・ត・្・ត
សាលាមត្តេយ្យសិក្សា	សាលា|មត្តេយ្យ|សិក្សា	ស・ា・ល・ា・ម・ត・្・ត・េ・យ・្・យ・ស・ិ・ក・្・ស・ា
សាលាវត្ត	សាលា|វត្ត	ស・ា・ល・ា・វ・ត・្・ត
សាវិត្តិសាស្ត្រ	សាវិត្តិ|សាស្ត្រ	ស・ា・វ・ិ・ត・្・ត・ិ・ស・ា・ស・្・ត・្・រ
សាសនប្បដិបត្តិ	សាសន|ប្បដិបត្តិ	ស・ា・ស・ន・ប・្・ប・ដ・ិ・ប・ត・្・ត・ិ
សាសនប្បវត្តិ	សាសន|ប្បវត្តិ	ស・ា・ស・ន・ប・្・ប・វ・ត・្・ត・ិ
សាសនប្រតិបត្តិ	សាសន|ប្រតិបត្តិ	ស・ា・ស・ន・ប・្・រ・ត・ិ・ប・ត・្・ត・ិ
សាសនប្រវត្តិ	សាសន|ប្រវត្តិ	ស・ា・ស・ន・ប・្・រ・វ・ត・្・ត・ិ
សាសនសម្បត្តិ	សាសន|សម្បត្តិ	ស・ា・ស・ន・ស・ម・្・ប・ត・្・ត・ិ
សិត្តាបៃ	សិត្តា|បៃ	ស・ិ・ត・្・ត・ា・ប・ៃ
សិត្តាប៊ីត	សិត្តា|ប៊ីត	ស・ិ・ត・្・ត・ា・ប・៊・ី・ត
សិថិលមិត្ត	សិថិល|មិត្ត	ស・ិ・ថ・ិ・ល・ម・ិ・ត・្・ត
សិនិទ្ធមិត្ត	សិនិទ្ធ|មិត្ត	ស・ិ・ន・ិ・ទ・្・ធ・ម・ិ・ត・្・ត
សិនេហចិត្ត	សិនេហ|ចិត្ត	ស・ិ・ន・េ・ហ・ច・ិ・ត・្・ត
សិនេហមិត្ត	សិនេហ|មិត្ត	ស・ិ・ន・េ・ហ・ម・ិ・ត・្・ត
សិរីសម្បត្តិ	សិរី|សម្បត្តិ	ស・ិ・រ・ី・ស・ម・្・ប・ត・្・ត・ិ
សិរឹសបសត្ត	សិរឹស|បសត្ត	ស・ិ・រ・ឹ・ស・ប・ស・ត・្・ត
សិវក្ខេត្ត	សិវ|ក្ខេត្ត	ស・ិ・វ・ក・្・ខ・េ・ត・្・ត
សិស្សធ្វើវត្ត	សិស្ស|ធ្វើ|វត្ត	ស・ិ・ស・្・ស・ធ・្・វ・ើ・វ・ត・្・ត
សិស្សវត្ត	សិស្ស|វត្ត	ស・ិ・ស・្・ស・វ・ត・្・ត
សីតលចិត្ត	សីតល|ចិត្ត	ស・ី・ត・ល・ច・ិ・ត・្・ត
សីមានិមិត្ត	សីមា|និមិត្ត	ស・ី・ម・ា・ន・ិ・ម・ិ・ត・្・ត
សីលវិបត្តិ	សីល|វិបត្តិ	ស・ី・ល・វ・ិ・ប・ត・្・ត・ិ
សីលសម្បត្តិ	សីល|សម្បត្តិ	ស・ី・ល・ស・ម・្・ប・ត・្・ត・ិ
សុ.ចិ.បុ.លិ.វិនិមុត្ត	សុ.|ចិ.|បុ.|លិ.|វិនិមុត្ត	ស・ុ・.・ច・ិ・.・ប・ុ・.・ល・ិ・.・វ・ិ・ន・ិ・ម・ុ・ត・្・ត
សុខចិត្ត	សុខ|ចិត្ត	ស・ុ・ខ・ច・ិ・ត・្・ត
សុខុមសត្ត	សុខុម|សត្ត	ស・ុ・ខ・ុ・ម・ស・ត・្・ត
សុចរិតយុត្តិធម៌	សុចរិត|យុត្តិធម៌	ស・ុ・ច・រ・ិ・ត・យ・ុ・ត・្・ត・ិ・ធ・ម・៌
សុចិត្តា	សុចិត្តា	ស・ុ・ច・ិ・ត・្・ត・ា
សុជាតបុត្ត	សុជាត|បុត្ត	ស・ុ・ជ・ា・ត・ប・ុ・ត・្・ត
សុត្តន្តបិដក	សុត្តន្ត|បិដក	ស・ុ・ត・្・ត・ន・្・ត・ប・ិ・ដ・ក
សុត្តីយភាព	សុត្តីយ|ភាព	ស・ុ・ត・្・ត・ី・យ・ភ・ា・ព
សុទន្តចិត្ត	សុទន្ត|ចិត្ត	ស・ុ・ទ・ន・្・ត・ច・ិ・ត・្・ត
សុទន្តសត្ត	សុទន្ត|សត្ត	ស・ុ・ទ・ន・្・ត・ស・ត・្・ត
សុទ្ធចិត្ត	សុទ្ធ|ចិត្ត	ស・ុ・ទ・្・ធ・ច・ិ・ត・្・ត
សុធាមត្តិកា	សុធាម|ត្តិកា	ស・ុ・ធ・ា・ម・ត・្・ត・ិ・ក・ា
សុន្ទរសម្បត្តិ	សុន្ទរ|សម្បត្តិ	ស・ុ・ន・្・ទ・រ・ស・ម・្・ប・ត・្・ត・ិ
សុបិននិមិត្ត	សុបិន|និមិត្ត	ស・ុ・ប・ិ・ន・ន・ិ・ម・ិ・ត・្・ត
សុពចមិត្ត	សុព|ចមិត្ត	ស・ុ・ព・ច・ម・ិ・ត・្・ត
សុភនិមិត្ត	សុភនិមិត្ត	ស・ុ・ភ・ន・ិ・ម・ិ・ត・្・ត
សុភរបុត្ត	សុភរ|បុត្ត	ស・ុ・ភ・រ・ប・ុ・ត・្・ត
សុមេធកុលបុត្ត	សុមេធ|កុល|បុត្ត	ស・ុ・ម・េ・ធ・ក・ុ・ល・ប・ុ・ត・្・ត
សុរាមត្ត	សុរាម|ត្ត	ស・ុ・រ・ា・ម・ត・្・ត
សុរាមត្តា	សុរាម|ត្តា	ស・ុ・រ・ា・ម・ត・្・ត・ា
សុរិយគោត្ត	សុរិយ|គោត្ត	ស・ុ・រ・ិ・យ・គ・ោ・ត・្・ត
សុរិយទេវបុត្ត	សុរិយ|ទេវ|បុត្ត	ស・ុ・រ・ិ・យ・ទ・េ・វ・ប・ុ・ត・្・ត
សុរុម្មត្តកៈ	សុរុម្មត្តកៈ	ស・ុ・រ・ុ・ម・្・ម・ត・្・ត・ក・ៈ
សុលភសម្បត្តិ	សុល|ភសម្បត្តិ	ស・ុ・ល・ភ・ស・ម・្・ប・ត・្・ត・ិ
សូកចិត្ត	សូក|ចិត្ត	ស・ូ・ក・ច・ិ・ត・្・ត
សូត្រញត្តិនាគ	សូត្រ|ញត្តិ|នាគ	ស・ូ・ត・្・រ・ញ・ត・្・ត・ិ・ន・ា・គ
សូមទានមេត្តាប្រោស	សូម|ទាន|មេត្តា|ប្រោស	ស・ូ・ម・ទ・ា・ន・ម・េ・ត・្・ត・ា・ប・្・រ・ោ・ស
សូមទ្រង់ព្រះមេត្តាប្រោស	សូម|ទ្រង់|ព្រះ|មេត្តា|ប្រោស	ស・ូ・ម・ទ・្・រ・ង・់・ព・្・រ・ះ・ម・េ・ត・្・ត・ា・ប・្・រ・ោ・ស
សូមទ្រង់មេត្តាប្រោស	សូម|ទ្រង់|មេត្តា|ប្រោស	ស・ូ・ម・ទ・្・រ・ង・់・ម・េ・ត・្・ត・ា・ប・្・រ・ោ・ស
សូរចិត្ត	សូរ|ចិត្ត	ស・ូ・រ・ច・ិ・ត・្・ត
សេដ្ឋីបុត្ត	សេដ្ឋី|បុត្ត	ស・េ・ដ・្・ឋ・ី・ប・ុ・ត・្・ត
សេតច្ឆត្ត	សេត|ច្ឆត្ត	ស・េ・ត・ច・្・ឆ・ត・្・ត
សោតាបត្តិមគ្គ	សោតា|បត្តិ|មគ្គ	ស・ោ・ត・ា・ប・ត・្・ត・ិ・ម・គ・្・គ
